"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"3015.300000190735","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","3022","0.0-0.0","","","","","","","","",""
"11082.400000095367","","","survey-text","1","14109","0.0-1.0","{""aws"":""A1FVXS8IM5QYO8""}","","","","","","","",""
"19076.699999809265","","","survey-text","2","33189","0.0-2.0","{""age"":""55"",""english"":""Y"",""handedness"":""L"",""desktop"":""Y""}","","","","","","","",""
"28342.599999904633","","","instructions","3","61532","0.0-3.0","","[{""page_index"":0,""viewing_time"":1859.3999996185303},{""page_index"":1,""viewing_time"":7621.700000286102},{""page_index"":2,""viewing_time"":4208.400000095367},{""page_index"":3,""viewing_time"":10896.599999904633},{""page_index"":4,""viewing_time"":3756.2999997138977}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","62535","0.0-4.0","","","","","","","","",""
"883.9000000953674","arrows.png","38","image-keyboard-response","5","63724","0.0-5.0","","","","","","","","",""
"13770.400000095367","","","instructions","6","77495","0.0-6.0","","[{""page_index"":0,""viewing_time"":1202.5999999046326},{""page_index"":1,""viewing_time"":9563.700000286102},{""page_index"":2,""viewing_time"":3003.5999999046326}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","78498","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","79809","0.0-8.0","","","","","","","","",""
"397.90000009536743","arrows.png","38","image-keyboard-response","9","80514","0.0-9.0","","","","","","","","",""
"7137.700000286102","","","instructions","10","87652","0.0-10.0","","[{""page_index"":0,""viewing_time"":2979.6000003814697},{""page_index"":1,""viewing_time"":4157.599999904633}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","88658","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","89965","0.0-12.0","","","","","","","","",""
"972.1000003814697","arrows.png","39","image-keyboard-response","13","91243","0.0-13.0","","","","","","","","",""
"161340.59999990463","","","instructions","14","252583","0.0-14.0","","[{""page_index"":0,""viewing_time"":2167.5},{""page_index"":1,""viewing_time"":7586.5},{""page_index"":2,""viewing_time"":9264.299999713898},{""page_index"":3,""viewing_time"":137930},{""page_index"":4,""viewing_time"":4391.10000038147}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","253590","0.0-15.0","","","","","","","","",""
"4932","arrows.png","39","image-keyboard-response","16","258827","0.0-16.0","","","","","","","","",""
"12572.700000286102","","","instructions","17","271400","0.0-17.0","","[{""page_index"":0,""viewing_time"":5105.599999904633},{""page_index"":1,""viewing_time"":4982.800000190735},{""page_index"":2,""viewing_time"":2483.9000000953674}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","272406","0.0-18.0","","","","","","","","",""
"431.3999996185303","arrows.png","39","image-keyboard-response","19","273142","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","274148","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","275458","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","276763","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","278070","0.0-23.0","","","","","","","","",""
"187","arrows.png","39","image-keyboard-response","24","278562","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","279567","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","280876","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","282183","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","283488","0.0-28.0","","","","","","","","",""
"55.59999990463257","arrows.png","38","image-keyboard-response","29","283848","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","284854","0.0-30.0","","","","","","","","",""
"43961.699999809265","","","instructions","31","329121","0.0-31.0","","[{""page_index"":0,""viewing_time"":5040.599999904633},{""page_index"":1,""viewing_time"":1474},{""page_index"":2,""viewing_time"":10317.099999904633},{""page_index"":3,""viewing_time"":7369.5},{""page_index"":4,""viewing_time"":3477.4000000953674},{""page_index"":5,""viewing_time"":2326.0999999046326},{""page_index"":6,""viewing_time"":12175.700000286102},{""page_index"":7,""viewing_time"":1780.6999998092651}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","329428","0.0-32.0-0.0","","","fixation_1","","","","","",""
