"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"233918.30000001192","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","233952","0.0-0.0","","","","","","","","",""
"4962.300000011921","","","survey-text","1","238922","0.0-1.0","{""aws"":""A1IFIK8J49WBER""}","","","","","","","",""
"14553.600000023842","","","survey-text","2","253492","0.0-2.0","{""age"":""59"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"40691.59999999404","","","instructions","3","294184","0.0-3.0","","[{""page_index"":0,""viewing_time"":1558},{""page_index"":1,""viewing_time"":18883.09999999404},{""page_index"":2,""viewing_time"":7182},{""page_index"":3,""viewing_time"":10534},{""page_index"":4,""viewing_time"":2534}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","295188","0.0-4.0","","","","","","","","",""
"33.30000001192093","arrows.png","38","image-keyboard-response","5","295525","0.0-5.0","","","","","","","","",""
"23312.899999976158","","","instructions","6","318838","0.0-6.0","","[{""page_index"":0,""viewing_time"":3721.0999999940395},{""page_index"":1,""viewing_time"":13979.299999982119},{""page_index"":2,""viewing_time"":5612}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","319841","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","321147","0.0-8.0","","","","","","","","",""
"698.8999999761581","arrows.png","38","image-keyboard-response","9","322148","0.0-9.0","","","","","","","","",""
"11641.09999999404","","","instructions","10","333790","0.0-10.0","","[{""page_index"":0,""viewing_time"":2192.7999999821186},{""page_index"":1,""viewing_time"":9447.800000011921}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","334794","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","336103","0.0-12.0","","","","","","","","",""
"331.40000000596046","arrows.png","39","image-keyboard-response","13","336737","0.0-13.0","","","","","","","","",""
