"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"6624","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","6625","0.0-0.0","","","","","","","","",""
"3692","","","survey-text","1","10321","0.0-1.0","{""aws"":""A1YC558J4E5KZ""}","","","","","","","",""
"9094","","","survey-text","2","19419","0.0-2.0","{""age"":""50"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"224572","","","instructions","3","243991","0.0-3.0","","[{""page_index"":0,""viewing_time"":1615},{""page_index"":1,""viewing_time"":9436},{""page_index"":2,""viewing_time"":5278},{""page_index"":3,""viewing_time"":14188},{""page_index"":4,""viewing_time"":194054}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","245006","0.0-4.0","","","","","","","","",""
"1963","arrows.png","38","image-keyboard-response","5","247288","0.0-5.0","","","","","","","","",""
"28541","","","instructions","6","275830","0.0-6.0","","[{""page_index"":0,""viewing_time"":2376},{""page_index"":1,""viewing_time"":21434},{""page_index"":2,""viewing_time"":4731}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","276849","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","278179","0.0-8.0","","","","","","","","",""
"369","arrows.png","38","image-keyboard-response","9","278856","0.0-9.0","","","","","","","","",""
"8391","","","instructions","10","287247","0.0-10.0","","[{""page_index"":0,""viewing_time"":2136},{""page_index"":1,""viewing_time"":6255}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","288259","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","289575","0.0-12.0","","","","","","","","",""
"264","arrows.png","39","image-keyboard-response","13","290144","0.0-13.0","","","","","","","","",""
"42837","","","instructions","14","332982","0.0-14.0","","[{""page_index"":0,""viewing_time"":2015},{""page_index"":1,""viewing_time"":5513},{""page_index"":2,""viewing_time"":18868},{""page_index"":3,""viewing_time"":8981},{""page_index"":4,""viewing_time"":7460}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","333997","0.0-15.0","","","","","","","","",""
"623","arrows.png","39","image-keyboard-response","16","334929","0.0-16.0","","","","","","","","",""
"22459","","","instructions","17","357388","0.0-17.0","","[{""page_index"":0,""viewing_time"":3051},{""page_index"":1,""viewing_time"":7853},{""page_index"":2,""viewing_time"":11555}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","358390","0.0-18.0","","","","","","","","",""
"662","arrows.png","39","image-keyboard-response","19","359352","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","360359","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","361679","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","363010","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","364330","0.0-23.0","","","","","","","","",""
"266","arrows.png","39","image-keyboard-response","24","364905","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","365914","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","367220","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","368534","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","369860","0.0-28.0","","","","","","","","",""
"399","arrows.png","38","image-keyboard-response","29","370568","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","371574","0.0-30.0","","","","","","","","",""
"81518","","","instructions","31","453404","0.0-31.0","","[{""page_index"":0,""viewing_time"":14149},{""page_index"":1,""viewing_time"":1805},{""page_index"":2,""viewing_time"":12221},{""page_index"":3,""viewing_time"":10499},{""page_index"":4,""viewing_time"":7035},{""page_index"":5,""viewing_time"":4285},{""page_index"":6,""viewing_time"":29221},{""page_index"":7,""viewing_time"":2303}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","453718","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","453720","0.0-32.0-1.0","","","test","leftarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","454029","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","35","455034","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","455334","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","456355","0.0-32.0-5.0","","","test","leftarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","456664","0.0-32.0-6.0","","","fixation_4","","","","","",""
"310","arrows.png","38","image-keyboard-response","39","456975","0.0-32.0-7.0","","","test","leftarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","458266","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","459819","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","459840","0.0-32.0-1.1","","","test","downarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","460146","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","44","461150","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","461453","0.0-32.0-4.1","","","fixation_3","","","","","",""
