"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"10751.79999999702","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","10766","0.0-0.0","","","","","","","","",""
"3943.7999999970198","","","survey-text","1","14714","0.0-1.0","{""aws"":""A2SWQM5X54P1O5""}","","","","","","","",""
"11123.20000000298","","","survey-text","2","25841","0.0-2.0","{""age"":""34"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"38343.20000000298","","","instructions","3","64185","0.0-3.0","","[{""page_index"":0,""viewing_time"":1179},{""page_index"":1,""viewing_time"":9389.79999999702},{""page_index"":2,""viewing_time"":3371.6000000089407},{""page_index"":3,""viewing_time"":18118.09999999404},{""page_index"":4,""viewing_time"":6284.29999999702}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","65188","0.0-4.0","","","","","","","","",""
"950.5","arrows.png","38","image-keyboard-response","5","66441","0.0-5.0","","","","","","","","",""
"20521.39999999106","","","instructions","6","86963","0.0-6.0","","[{""page_index"":0,""viewing_time"":1665.2000000029802},{""page_index"":1,""viewing_time"":13986.09999999404},{""page_index"":2,""viewing_time"":4869.5999999940395}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","87965","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","89267","0.0-8.0","","","","","","","","",""
"457.90000000596046","arrows.png","38","image-keyboard-response","9","90037","0.0-9.0","","","","","","","","",""
"7937.100000008941","","","instructions","10","97975","0.0-10.0","","[{""page_index"":0,""viewing_time"":1891},{""page_index"":1,""viewing_time"":6045.9000000059605}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","98976","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","100278","0.0-12.0","","","","","","","","",""
"549.8999999910593","arrows.png","39","image-keyboard-response","13","101135","0.0-13.0","","","","","","","","",""
"47674.10000000894","","","instructions","14","148809","0.0-14.0","","[{""page_index"":0,""viewing_time"":1799.6000000089407},{""page_index"":1,""viewing_time"":11447.89999999106},{""page_index"":2,""viewing_time"":6991.79999999702},{""page_index"":3,""viewing_time"":13484.10000000894},{""page_index"":4,""viewing_time"":13950.20000000298}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","149811","0.0-15.0","","","","","","","","",""
"1250.7999999970198","arrows.png","39","image-keyboard-response","16","151364","0.0-16.0","","","","","","","","",""
