"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"103965.59999990463","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","103983","0.0-0.0","","","","","","","","",""
"1900.0999999046326","","","survey-text","1","105889","0.0-1.0","{""aws"":""A9HQ3E0F2AGVO""}","","","","","","","",""
"6543.5","","","survey-text","2","112439","0.0-2.0","{""age"":""33"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"13688.60000038147","","","instructions","3","126129","0.0-3.0","","[{""page_index"":0,""viewing_time"":1219.2000002861023},{""page_index"":1,""viewing_time"":4897.799999713898},{""page_index"":2,""viewing_time"":2242},{""page_index"":3,""viewing_time"":3484.1000003814697},{""page_index"":4,""viewing_time"":1845}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","127133","0.0-4.0","","","","","","","","",""
"943.6999998092651","arrows.png","38","image-keyboard-response","5","128378","0.0-5.0","","","","","","","","",""
"7838","","","instructions","6","136217","0.0-6.0","","[{""page_index"":0,""viewing_time"":1740.0999999046326},{""page_index"":1,""viewing_time"":4304.199999809265},{""page_index"":2,""viewing_time"":1793.3000001907349}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","137218","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","138522","0.0-8.0","","","","","","","","",""
"370.7000002861023","arrows.png","38","image-keyboard-response","9","139195","0.0-9.0","","","","","","","","",""
"3254","","","instructions","10","142449","0.0-10.0","","[{""page_index"":0,""viewing_time"":1800.1999998092651},{""page_index"":1,""viewing_time"":1453.4000000953674}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","143452","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","144755","0.0-12.0","","","","","","","","",""
"703.2999997138977","arrows.png","39","image-keyboard-response","13","145760","0.0-13.0","","","","","","","","",""
"19836","","","instructions","14","165597","0.0-14.0","","[{""page_index"":0,""viewing_time"":1220.8000001907349},{""page_index"":1,""viewing_time"":4290.900000095367},{""page_index"":2,""viewing_time"":7930.900000095367},{""page_index"":3,""viewing_time"":2519.7999997138977},{""page_index"":4,""viewing_time"":3873.0999999046326}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","166598","0.0-15.0","","","","","","","","",""
"782.5999999046326","arrows.png","39","image-keyboard-response","16","167682","0.0-16.0","","","","","","","","",""
"11594.599999904633","","","instructions","17","179277","0.0-17.0","","[{""page_index"":0,""viewing_time"":2173.2999997138977},{""page_index"":1,""viewing_time"":5735.099999904633},{""page_index"":2,""viewing_time"":3685.800000190735}]","","","","","","",""
