"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"5079","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","5103","0.0-0.0","","","","","","","","",""
"8625.10000000149","","","survey-text","1","13735","0.0-1.0","{""aws"":""AEWGY34WUIA32""}","","","","","","","",""
"10241.79999999702","","","survey-text","2","23985","0.0-2.0","{""age"":""34"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"41719.79999999702","","","instructions","3","65708","0.0-3.0","","[{""page_index"":0,""viewing_time"":1389.5},{""page_index"":1,""viewing_time"":28820.19999999553},{""page_index"":2,""viewing_time"":2661.5},{""page_index"":3,""viewing_time"":5718.4000000059605},{""page_index"":4,""viewing_time"":3129.5999999940395}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","66714","0.0-4.0","","","","","","","","",""
"1111","arrows.png","38","image-keyboard-response","5","68129","0.0-5.0","","","","","","","","",""
"14495.5","","","instructions","6","82625","0.0-6.0","","[{""page_index"":0,""viewing_time"":1093.6000000014901},{""page_index"":1,""viewing_time"":9930.29999999702},{""page_index"":2,""viewing_time"":3471}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","83630","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","84936","0.0-8.0","","","","","","","","",""
"585.7999999970198","arrows.png","38","image-keyboard-response","9","85824","0.0-9.0","","","","","","","","",""
"3595.9000000059605","","","instructions","10","89421","0.0-10.0","","[{""page_index"":0,""viewing_time"":1253},{""page_index"":1,""viewing_time"":2342.4000000059605}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","90427","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","91734","0.0-12.0","","","","","","","","",""
"945","arrows.png","39","image-keyboard-response","13","92984","0.0-13.0","","","","","","","","",""
"28115.90000000596","","","instructions","14","121102","0.0-14.0","","[{""page_index"":0,""viewing_time"":1325.1000000014901},{""page_index"":1,""viewing_time"":6574.10000000149},{""page_index"":2,""viewing_time"":7107.89999999851},{""page_index"":3,""viewing_time"":3374},{""page_index"":4,""viewing_time"":9734.10000000149}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","122108","0.0-15.0","","","","","","","","",""
"445","arrows.png","39","image-keyboard-response","16","122857","0.0-16.0","","","","","","","","",""
"10749.69999999553","","","instructions","17","133608","0.0-17.0","","[{""page_index"":0,""viewing_time"":2259.2999999970198},{""page_index"":1,""viewing_time"":5526.10000000149},{""page_index"":2,""viewing_time"":2963.6999999955297}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","134611","0.0-18.0","","","","","","","","",""
"1286.7999999970198","arrows.png","39","image-keyboard-response","19","136202","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","137206","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","138512","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","139820","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","141124","0.0-23.0","","","","","","","","",""
"398.70000000298023","arrows.png","39","image-keyboard-response","24","141826","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","142832","0.0-25.0","","","","","","","","",""
