"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"6207","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","6213","0.0-0.0","","","","","","","","",""
"7280","","","survey-text","1","13501","0.0-1.0","{""aws"":""AZNIEFUIVB2H0""}","","","","","","","",""
"20816","","","survey-text","2","34321","0.0-2.0","{""age"":""54"",""english"":""Y"",""handedness"":""L"",""desktop"":""Y""}","","","","","","","",""
"78547","","","instructions","3","112870","0.0-3.0","","[{""page_index"":0,""viewing_time"":1574},{""page_index"":1,""viewing_time"":9832},{""page_index"":2,""viewing_time"":9640},{""page_index"":3,""viewing_time"":54838},{""page_index"":4,""viewing_time"":2663}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","113878","0.0-4.0","","","","","","","","",""
"672","arrows.png","38","image-keyboard-response","5","114867","0.0-5.0","","","","","","","","",""
"23155","","","instructions","6","138023","0.0-6.0","","[{""page_index"":0,""viewing_time"":3084},{""page_index"":1,""viewing_time"":16157},{""page_index"":2,""viewing_time"":3914}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","139036","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","140358","0.0-8.0","","","","","","","","",""
"632","arrows.png","38","image-keyboard-response","9","141305","0.0-9.0","","","","","","","","",""
"8977","","","instructions","10","150283","0.0-10.0","","[{""page_index"":0,""viewing_time"":2544},{""page_index"":1,""viewing_time"":6433}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","151298","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","152608","0.0-12.0","","","","","","","","",""
"489","arrows.png","39","image-keyboard-response","13","153415","0.0-13.0","","","","","","","","",""
"34056","","","instructions","14","187470","0.0-14.0","","[{""page_index"":0,""viewing_time"":2642},{""page_index"":1,""viewing_time"":8633},{""page_index"":2,""viewing_time"":11406},{""page_index"":3,""viewing_time"":3816},{""page_index"":4,""viewing_time"":7559}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","188483","0.0-15.0","","","","","","","","",""
"702","arrows.png","39","image-keyboard-response","16","189498","0.0-16.0","","","","","","","","",""
"20030","","","instructions","17","209529","0.0-17.0","","[{""page_index"":0,""viewing_time"":6375},{""page_index"":1,""viewing_time"":7287},{""page_index"":2,""viewing_time"":6368}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","210531","0.0-18.0","","","","","","","","",""
"1148","arrows.png","39","image-keyboard-response","19","211983","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","212999","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","214314","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","215639","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","216954","0.0-23.0","","","","","","","","",""
"495","arrows.png","39","image-keyboard-response","24","217752","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","218758","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","220072","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","221390","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","222703","0.0-28.0","","","","","","","","",""
"190","arrows.png","38","image-keyboard-response","29","223204","0.0-29.0","","","","","","","","",""
