"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"1971.6999999284744","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","1989","0.0-0.0","","","","","","","","",""
"2584.2999999523163","","","survey-text","1","4581","0.0-1.0","{""aws"":""A147F5PJTHOB8A""}","","","","","","","",""
"6822.5","","","survey-text","2","11420","0.0-2.0","{""age"":""44"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"839218.6999999285","","","instructions","3","850639","0.0-3.0","","[{""page_index"":0,""viewing_time"":996.6999999284744},{""page_index"":1,""viewing_time"":670368.6000000238},{""page_index"":2,""viewing_time"":1747.7999999523163},{""page_index"":3,""viewing_time"":161856.70000004768},{""page_index"":4,""viewing_time"":4248.200000047684}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","851641","0.0-4.0","","","","","","","","",""
"2080.1999999284744","arrows.png","38","image-keyboard-response","5","854023","0.0-5.0","","","","","","","","",""
"15905.300000071526","","","instructions","6","869929","0.0-6.0","","[{""page_index"":0,""viewing_time"":1033.3000000715256},{""page_index"":1,""viewing_time"":1103.6999999284744},{""page_index"":2,""viewing_time"":6205.900000095367},{""page_index"":3,""viewing_time"":2266.1999999284744},{""page_index"":4,""viewing_time"":2003.7000000476837},{""page_index"":5,""viewing_time"":2544.399999976158},{""page_index"":6,""viewing_time"":747.7999999523163}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","870231","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","870233","0.0-7.0-1.0","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","870534","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","10","871536","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","871838","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","871843","0.0-7.0-5.0","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","872145","0.0-7.0-6.0","","","fixation_4","","","","","",""
"606.2000000476837","arrows.png","38","image-keyboard-response","14","872751","0.0-7.0-7.0","","","test","uparrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","15","874004","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","874556","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","874561","0.0-7.0-1.1","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","874862","0.0-7.0-2.1","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","19","875876","0.0-7.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","20","876177","0.0-7.0-4.1","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","21","876182","0.0-7.0-5.1","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","22","876484","0.0-7.0-6.1","","","fixation_4","","","","","",""
"420.89999997615814","arrows.png","39","image-keyboard-response","23","876905","0.0-7.0-7.1","","","test","rightarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","24","878158","0.0-7.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","25","878961","0.0-7.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","26","878966","0.0-7.0-1.2","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","27","879267","0.0-7.0-2.2","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","28","880269","0.0-7.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","29","880569","0.0-7.0-4.2","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","30","880575","0.0-7.0-5.2","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","31","880875","0.0-7.0-6.2","","","fixation_4","","","","","",""
"411.7999999523163","arrows.png","37","image-keyboard-response","32","881288","0.0-7.0-7.2","","","test","leftarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","33","882539","0.0-7.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","884091","0.0-7.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","35","884096","0.0-7.0-1.3","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","884398","0.0-7.0-2.3","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","37","885399","0.0-7.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","885700","0.0-7.0-4.3","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","39","885706","0.0-7.0-5.3","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","40","886006","0.0-7.0-6.3","","","fixation_4","","","","","",""
"167.5","arrows.png","40","image-keyboard-response","41","886175","0.0-7.0-7.3","","","test","downarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","42","887428","0.0-7.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","888480","0.0-7.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","44","888486","0.0-7.0-1.4","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","888787","0.0-7.0-2.4","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","46","889789","0.0-7.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","890090","0.0-7.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","48","890095","0.0-7.0-5.4","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","49","890408","0.0-7.0-6.4","","","fixation_4","","","","","",""
"482","arrows.png","39","image-keyboard-response","50","890890","0.0-7.0-7.4","","","test","rightarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","51","892143","0.0-7.0-8.4","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","893695","0.0-7.0-0.5","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","53","893701","0.0-7.0-1.5","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","894002","0.0-7.0-2.5","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","55","895003","0.0-7.0-3.5","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","895305","0.0-7.0-4.5","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","57","895310","0.0-7.0-5.5","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","58","895612","0.0-7.0-6.5","","","fixation_4","","","","","",""
"229.80000007152557","arrows.png","37","image-keyboard-response","59","895843","0.0-7.0-7.5","","","test","leftarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","60","897095","0.0-7.0-8.5","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","898646","0.0-7.0-0.6","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","62","898652","0.0-7.0-1.6","","","test","uparrow","1","1","FALSE","FALSE",""
