"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"7163.700000017881","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","7200","0.0-0.0","","","","","","","","",""
"26055.5","","","survey-text","1","33265","0.0-1.0","{""aws"":""A1RV2LERVS0A4H""}","","","","","","","",""
"56235.80000001192","","","survey-text","2","89512","0.0-2.0","{""age"":""34"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"42609","","","instructions","3","132123","0.0-3.0","","[{""page_index"":0,""viewing_time"":10926.09999999404},{""page_index"":1,""viewing_time"":5877.5},{""page_index"":2,""viewing_time"":4236},{""page_index"":3,""viewing_time"":18178.30000001192},{""page_index"":4,""viewing_time"":3389}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","133127","0.0-4.0","","","","","","","","",""
"590.4000000059605","arrows.png","38","image-keyboard-response","5","134021","0.0-5.0","","","","","","","","",""
"134807.79999998212","","","instructions","6","268834","0.0-6.0","","[{""page_index"":0,""viewing_time"":1458},{""page_index"":1,""viewing_time"":1297.199999988079},{""page_index"":2,""viewing_time"":44295.30000001192},{""page_index"":3,""viewing_time"":9397.899999976158},{""page_index"":4,""viewing_time"":7556.100000023842},{""page_index"":5,""viewing_time"":5899.0999999940395},{""page_index"":6,""viewing_time"":64903.69999998808}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","269137","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","269143","0.0-7.0-1.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","269445","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","10","270449","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","270751","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","270758","0.0-7.0-5.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","271060","0.0-7.0-6.0","","","fixation_4","","","","","",""
"990","arrows.png","39","image-keyboard-response","14","272051","0.0-7.0-7.0","","","test","downarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","15","273304","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","274609","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","274616","0.0-7.0-1.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","274917","0.0-7.0-2.1","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","19","275919","0.0-7.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","20","276222","0.0-7.0-4.1","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","21","276228","0.0-7.0-5.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","22","276529","0.0-7.0-6.1","","","fixation_4","","","","","",""
"1401.2000000178814","arrows.png","39","image-keyboard-response","23","277932","0.0-7.0-7.1","","","test","uparrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","24","279183","0.0-7.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","25","280237","0.0-7.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","26","280245","0.0-7.0-1.2","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","27","280547","0.0-7.0-2.2","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","28","281549","0.0-7.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","29","281852","0.0-7.0-4.2","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","30","281859","0.0-7.0-5.2","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","31","282161","0.0-7.0-6.2","","","fixation_4","","","","","",""
"631.5","arrows.png","37","image-keyboard-response","32","282794","0.0-7.0-7.2","","","test","leftarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","33","284047","0.0-7.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","285100","0.0-7.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","35","285106","0.0-7.0-1.3","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","285407","0.0-7.0-2.3","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","37","286408","0.0-7.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","286710","0.0-7.0-4.3","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","39","286716","0.0-7.0-5.3","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","40","287017","0.0-7.0-6.3","","","fixation_4","","","","","",""
"548.5","arrows.png","38","image-keyboard-response","41","287568","0.0-7.0-7.3","","","test","rightarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","42","288820","0.0-7.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","289372","0.0-7.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","44","289380","0.0-7.0-1.4","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","289682","0.0-7.0-2.4","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","46","290685","0.0-7.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","290987","0.0-7.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","48","290992","0.0-7.0-5.4","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","49","291294","0.0-7.0-6.4","","","fixation_4","","","","","",""
"600.5","arrows.png","40","image-keyboard-response","50","291896","0.0-7.0-7.4","","","test","downarrow","0","1","FALSE","FALSE","true"
