"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"3208.5","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","38","html-keyboard-response","0","3233","0.0-0.0","","","","","","","","",""
"3838.699999999255","","","survey-text","1","7076","0.0-1.0","{""aws"":""A3EG4C9T4F5DUR""}","","","","","","","",""
"9778.699999999255","","","survey-text","2","16864","0.0-2.0","{""age"":""31"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"28264.79999999702","","","instructions","3","45131","0.0-3.0","","[{""page_index"":0,""viewing_time"":1129.0999999977648},{""page_index"":1,""viewing_time"":7727.60000000149},{""page_index"":2,""viewing_time"":2928},{""page_index"":3,""viewing_time"":13567.699999999255},{""page_index"":4,""viewing_time"":2912.10000000149}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","46135","0.0-4.0","","","","","","","","",""
"1657.9000000022352","arrows.png","38","image-keyboard-response","5","48094","0.0-5.0","","","","","","","","",""
"195218.69999999925","","","instructions","6","243313","0.0-6.0","","[{""page_index"":0,""viewing_time"":979.1999999992549},{""page_index"":1,""viewing_time"":1224},{""page_index"":2,""viewing_time"":171286.8999999985},{""page_index"":3,""viewing_time"":9807.800000000745},{""page_index"":4,""viewing_time"":7783.800000000745},{""page_index"":5,""viewing_time"":3120.5},{""page_index"":6,""viewing_time"":1016.1000000014901}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","243614","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","243617","0.0-7.0-1.0","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","243919","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","10","244921","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","245222","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","245231","0.0-7.0-5.0","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","245532","0.0-7.0-6.0","","","fixation_4","","","","","",""
