"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"2451.400000035763","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","37","html-keyboard-response","0","2475","0.0-0.0","","","","","","","","",""
"3037.100000023842","","","survey-text","1","5520","0.0-1.0","{""aws"":""A3HW4QDJB63OQ2""}","","","","","","","",""
"9153.199999988079","","","survey-text","2","14688","0.0-2.0","{""age"":""31"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"24039.200000047684","","","instructions","3","38728","0.0-3.0","","[{""page_index"":0,""viewing_time"":909.7000000476837},{""page_index"":1,""viewing_time"":8351.799999952316},{""page_index"":2,""viewing_time"":1041},{""page_index"":3,""viewing_time"":6569.5},{""page_index"":4,""viewing_time"":7166.800000011921}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","39731","0.0-4.0","","","","","","","","",""
"339","arrows.png","38","image-keyboard-response","5","40373","0.0-5.0","","","","","","","","",""
"10977","","","instructions","6","51351","0.0-6.0","","[{""page_index"":0,""viewing_time"":1087.800000011921},{""page_index"":1,""viewing_time"":888.5},{""page_index"":2,""viewing_time"":1518.8999999761581},{""page_index"":3,""viewing_time"":1631.4000000357628},{""page_index"":4,""viewing_time"":3885.699999988079},{""page_index"":5,""viewing_time"":1367.3999999761581},{""page_index"":6,""viewing_time"":596.6000000238419}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","51653","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","51659","0.0-7.0-1.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","51961","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","10","52963","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","53265","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","53271","0.0-7.0-5.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","53572","0.0-7.0-6.0","","","fixation_4","","","","","",""
"1249.199999988079","arrows.png","40","image-keyboard-response","14","54823","0.0-7.0-7.0","","","test","downarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","15","56084","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","56887","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","56892","0.0-7.0-1.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","57193","0.0-7.0-2.1","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","19","58195","0.0-7.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","20","58497","0.0-7.0-4.1","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","21","58504","0.0-7.0-5.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","22","58807","0.0-7.0-6.1","","","fixation_4","","","","","",""
"615.4000000357628","arrows.png","37","image-keyboard-response","23","59423","0.0-7.0-7.1","","","test","uparrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","24","60677","0.0-7.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","25","61229","0.0-7.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","26","61234","0.0-7.0-1.2","","","test","leftarrow","0","1","FALSE","FALSE",""
