"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"9295.700000017881","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","9349","0.0-0.0","","","","","","","","",""
"5467.5999999940395","","","survey-text","1","14838","0.0-1.0","{""aws"":""ANFWGSQ8BQRZ""}","","","","","","","",""
"22036.40000000596","","","survey-text","2","36885","0.0-2.0","{""age"":""46"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"53024.09999999404","","","instructions","3","89909","0.0-3.0","","[{""page_index"":0,""viewing_time"":2438.800000011921},{""page_index"":1,""viewing_time"":10855.59999999404},{""page_index"":2,""viewing_time"":9176.199999988079},{""page_index"":3,""viewing_time"":24736.80000001192},{""page_index"":4,""viewing_time"":5816.0999999940395}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","90912","0.0-4.0","","","","","","","","",""
"364","arrows.png","38","image-keyboard-response","5","91580","0.0-5.0","","","","","","","","",""
"41656.79999998212","","","instructions","6","133238","0.0-6.0","","[{""page_index"":0,""viewing_time"":1414.3999999761581},{""page_index"":1,""viewing_time"":2681.4000000059605},{""page_index"":2,""viewing_time"":9783.800000011921},{""page_index"":3,""viewing_time"":10712.59999999404},{""page_index"":4,""viewing_time"":8352.09999999404},{""page_index"":5,""viewing_time"":5240.0999999940395},{""page_index"":6,""viewing_time"":3472.100000023842}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","133540","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","133548","0.0-7.0-1.0","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","133849","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","10","134851","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","135154","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","135161","0.0-7.0-5.0","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","135463","0.0-7.0-6.0","","","fixation_4","","","","","",""
"794.7000000178814","arrows.png","38","image-keyboard-response","14","136260","0.0-7.0-7.0","","","test","leftarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","15","137513","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","139066","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","139071","0.0-7.0-1.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","139372","0.0-7.0-2.1","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","19","140374","0.0-7.0-3.1","","","img_on","","","","","",""
