"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"6797.0999999940395","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","72","html-keyboard-response","0","6808","0.0-0.0","","","","","","","","",""
"4259.20000000298","","","survey-text","1","11070","0.0-1.0","{""aws"":""A171S8E9IFSHH2""}","","","","","","","",""
"7358.9000000059605","","","survey-text","2","18432","0.0-2.0","{""age"":""24"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"28646.30000001192","","","instructions","3","47079","0.0-3.0","","[{""page_index"":0,""viewing_time"":823.5},{""page_index"":1,""viewing_time"":4769.9000000059605},{""page_index"":2,""viewing_time"":5120.29999999702},{""page_index"":3,""viewing_time"":15076.40000000596},{""page_index"":4,""viewing_time"":2856}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","48080","0.0-4.0","","","","","","","","",""
"1164","arrows.png","38","image-keyboard-response","5","49545","0.0-5.0","","","","","","","","",""
"136845.29999999702","","","instructions","6","186390","0.0-6.0","","[{""page_index"":0,""viewing_time"":1429.0999999940395},{""page_index"":1,""viewing_time"":132729.90000000596},{""page_index"":2,""viewing_time"":2686.0999999940395}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","187391","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","188695","0.0-8.0","","","","","","","","",""
"374.8999999910593","arrows.png","38","image-keyboard-response","9","189372","0.0-9.0","","","","","","","","",""
"5020","","","instructions","10","194392","0.0-10.0","","[{""page_index"":0,""viewing_time"":915.7000000029802},{""page_index"":1,""viewing_time"":4104.199999988079}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","195394","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","196695","0.0-12.0","","","","","","","","",""
"327.29999999701977","arrows.png","39","image-keyboard-response","13","197324","0.0-13.0","","","","","","","","",""
"40243.09999999404","","","instructions","14","237568","0.0-14.0","","[{""page_index"":0,""viewing_time"":925.7999999970198},{""page_index"":1,""viewing_time"":18338.5},{""page_index"":2,""viewing_time"":14836.39999999106},{""page_index"":3,""viewing_time"":2078.2000000029802},{""page_index"":4,""viewing_time"":4064.1000000089407}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","238569","0.0-15.0","","","","","","","","",""
"1663.7999999970198","arrows.png","39","image-keyboard-response","16","240534","0.0-16.0","","","","","","","","",""
"166438.80000001192","","","instructions","17","406973","0.0-17.0","","[{""page_index"":0,""viewing_time"":1555.800000011921},{""page_index"":1,""viewing_time"":71000.09999999404},{""page_index"":2,""viewing_time"":93882.79999999702}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","407974","0.0-18.0","","","","","","","","",""
"2112.4000000059605","arrows.png","39","image-keyboard-response","19","410388","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","411389","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","412692","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","413994","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","415297","0.0-23.0","","","","","","","","",""
"549.6000000089407","arrows.png","39","image-keyboard-response","24","416147","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","417149","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","418539","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","421539","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","424540","0.0-28.0","","","","","","","","",""
"8048.79999999702","arrows.png","38","image-keyboard-response","29","433588","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","434588","0.0-30.0","","","","","","","","",""
"949090.5","","","instructions","31","1383979","0.0-31.0","","[{""page_index"":0,""viewing_time"":7333.20000000298},{""page_index"":1,""viewing_time"":1265.6000000089407},{""page_index"":2,""viewing_time"":5342.0999999940395},{""page_index"":3,""viewing_time"":2864},{""page_index"":4,""viewing_time"":3296.2000000029802},{""page_index"":5,""viewing_time"":909220.599999994},{""page_index"":6,""viewing_time"":18662.5},{""page_index"":7,""viewing_time"":1106.1000000089407}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","1384281","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","1384284","0.0-32.0-1.0","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","1384585","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","35","1385586","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","1385887","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","1386888","0.0-32.0-5.0","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","1387189","0.0-32.0-6.0","","","fixation_4","","","","","",""
"809.0999999940395","arrows.png","37","image-keyboard-response","39","1387999","0.0-32.0-7.0","","","test","rightarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","1389252","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","1390054","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","1390059","0.0-32.0-1.1","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","1390360","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","44","1391361","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","1391662","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","1392663","0.0-32.0-5.1","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","1392965","0.0-32.0-6.1","","","fixation_4","","","","","",""
"346.1000000089407","arrows.png","37","image-keyboard-response","48","1393311","0.0-32.0-7.1","","","test","uparrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","1394563","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","1395865","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","1395871","0.0-32.0-1.2","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","1396172","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","53","1397173","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","1397474","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","1398476","0.0-32.0-5.2","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","1398777","0.0-32.0-6.2","","","fixation_4","","","","","",""
"478.59999999403954","arrows.png","38","image-keyboard-response","57","1399256","0.0-32.0-7.2","","","test","downarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","58","1400538","0.0-32.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","59","1403539","0.0-32.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","60","1404538","0.0-32.0-1.3","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","1405538","0.0-32.0-2.3","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","62","1407539","0.0-32.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","63","1407840","0.0-32.0-4.3","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","64","1408841","0.0-32.0-5.3","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","65","1409156","0.0-32.0-6.3","","","fixation_4","","","","","",""
"323.1000000089407","arrows.png","38","image-keyboard-response","66","1409480","0.0-32.0-7.3","","","test","leftarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","67","1410731","0.0-32.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","68","1411783","0.0-32.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","69","1411788","0.0-32.0-1.4","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","70","1412091","0.0-32.0-2.4","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","71","1413092","0.0-32.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","72","1413393","0.0-32.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","73","1413397","0.0-32.0-5.4","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","74","1413698","0.0-32.0-6.4","","","fixation_4","","","","","",""
"3158.4000000059605","arrows.png","40","image-keyboard-response","75","1416857","0.0-32.0-7.4","","","test","rightarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","76","1418538","0.0-32.0-8.4","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","77","1420538","0.0-32.0-0.5","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","78","1421540","0.0-32.0-1.5","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","79","1422539","0.0-32.0-2.5","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","80","1424539","0.0-32.0-3.5","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","81","1425539","0.0-32.0-4.5","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","82","1426539","0.0-32.0-5.5","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","83","1427539","0.0-32.0-6.5","","","fixation_4","","","","","",""
"null","arrows.png","null","image-keyboard-response","84","1435540","0.0-32.0-7.5","","","test","uparrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","85","1438539","0.0-32.0-8.5","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","86","1441539","0.0-32.0-0.6","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","87","1442539","0.0-32.0-1.6","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","88","1443539","0.0-32.0-2.6","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","89","1445544","0.0-32.0-3.6","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","90","1446538","0.0-32.0-4.6","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","91","1447539","0.0-32.0-5.6","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","92","1448539","0.0-32.0-6.6","","","fixation_4","","","","","",""
"6230.5","arrows.png","37","image-keyboard-response","93","1454770","0.0-32.0-7.6","","","test","leftarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","94","1456021","0.0-32.0-8.6","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","95","1457579","0.0-32.0-0.7","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","96","1457584","0.0-32.0-1.7","","","test","downarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","97","1457886","0.0-32.0-2.7","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","98","1458887","0.0-32.0-3.7","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","99","1459188","0.0-32.0-4.7","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","100","1459193","0.0-32.0-5.7","","","test","downarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","101","1459494","0.0-32.0-6.7","","","fixation_4","","","","","",""
"523.9000000059605","arrows.png","38","image-keyboard-response","102","1460019","0.0-32.0-7.7","","","test","downarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","103","1461271","0.0-32.0-8.7","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","104","1462073","0.0-32.0-0.8","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","105","1462078","0.0-32.0-1.8","","","test","downarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","106","1462379","0.0-32.0-2.8","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","107","1463380","0.0-32.0-3.8","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","108","1463681","0.0-32.0-4.8","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","109","1463686","0.0-32.0-5.8","","","test","downarrow","1","1","FALSE","FALSE",""
