"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"5213.20000000298","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","5292","0.0-0.0","","","","","","","","",""
"4481.4000000059605","","","survey-text","1","9865","0.0-1.0","{""aws"":""A1CHC8M7CWC254""}","","","","","","","",""
"8114.0999999940395","","","survey-text","2","17997","0.0-2.0","{""age"":""30"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"41201.29999999702","","","instructions","3","59201","0.0-3.0","","[{""page_index"":0,""viewing_time"":1111.5999999940395},{""page_index"":1,""viewing_time"":22782.60000000894},{""page_index"":2,""viewing_time"":3495},{""page_index"":3,""viewing_time"":12013.199999988079},{""page_index"":4,""viewing_time"":1781.6000000089407}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","60210","0.0-4.0","","","","","","","","",""
"502.79999999701977","arrows.png","38","image-keyboard-response","5","61021","0.0-5.0","","","","","","","","",""
"16737.20000000298","","","instructions","6","77759","0.0-6.0","","[{""page_index"":0,""viewing_time"":953.5},{""page_index"":1,""viewing_time"":12829.40000000596},{""page_index"":2,""viewing_time"":2951.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","78769","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","80080","0.0-8.0","","","","","","","","",""
"539","arrows.png","38","image-keyboard-response","9","80935","0.0-9.0","","","","","","","","",""
"6766.0999999940395","","","instructions","10","87704","0.0-10.0","","[{""page_index"":0,""viewing_time"":1177},{""page_index"":1,""viewing_time"":5587.199999988079}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","88715","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","90039","0.0-12.0","","","","","","","","",""
"302.6000000089407","arrows.png","39","image-keyboard-response","13","90646","0.0-13.0","","","","","","","","",""
"20823.60000000894","","","instructions","14","111475","0.0-14.0","","[{""page_index"":0,""viewing_time"":1403.4000000059605},{""page_index"":1,""viewing_time"":4549.20000000298},{""page_index"":2,""viewing_time"":11804.59999999404},{""page_index"":3,""viewing_time"":1560.7000000029802},{""page_index"":4,""viewing_time"":1503.7000000029802}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","112490","0.0-15.0","","","","","","","","",""
"2980.0999999940395","arrows.png","39","image-keyboard-response","16","115775","0.0-16.0","","","","","","","","",""
"15390.20000000298","","","instructions","17","131166","0.0-17.0","","[{""page_index"":0,""viewing_time"":8379.800000011921},{""page_index"":1,""viewing_time"":5750.5999999940395},{""page_index"":2,""viewing_time"":1258.7999999970198}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","132172","0.0-18.0","","","","","","","","",""
"1049.2000000029802","arrows.png","39","image-keyboard-response","19","133530","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","134532","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","135839","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","137145","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","138455","0.0-23.0","","","","","","","","",""
"499.79999999701977","arrows.png","39","image-keyboard-response","24","139265","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","140275","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","141582","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","142889","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","144196","0.0-28.0","","","","","","","","",""
"488.69999998807907","arrows.png","38","image-keyboard-response","29","144990","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","145993","0.0-30.0","","","","","","","","",""
"13661.89999999106","","","instructions","31","159969","0.0-31.0","","[{""page_index"":0,""viewing_time"":3155.3999999910593},{""page_index"":1,""viewing_time"":906.4000000059605},{""page_index"":2,""viewing_time"":2387},{""page_index"":3,""viewing_time"":1900.2000000029802},{""page_index"":4,""viewing_time"":833.7000000029802},{""page_index"":5,""viewing_time"":784.7999999970198},{""page_index"":6,""viewing_time"":2606.7000000029802},{""page_index"":7,""viewing_time"":1086.8999999910593}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","160276","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","160298","0.0-32.0-1.0","","","test","rightarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","160606","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","35","161614","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","161918","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","162937","0.0-32.0-5.0","","","test","rightarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","163241","0.0-32.0-6.0","","","fixation_4","","","","","",""
"1.8999999910593033","arrows.png","37","image-keyboard-response","39","163247","0.0-32.0-7.0","","","test","rightarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","164506","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","165566","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","165580","0.0-32.0-1.1","","","test","leftarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","165890","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","44","166894","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","167198","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","168206","0.0-32.0-5.1","","","test","leftarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","168510","0.0-32.0-6.1","","","fixation_4","","","","","",""
"141.70000000298023","arrows.png","38","image-keyboard-response","48","168656","0.0-32.0-7.1","","","test","leftarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","169912","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","171230","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","171239","0.0-32.0-1.2","","","test","downarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","171544","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","53","172547","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","172851","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","173859","0.0-32.0-5.2","","","test","downarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","174163","0.0-32.0-6.2","","","fixation_4","","","","","",""
"353.59999999403954","arrows.png","39","image-keyboard-response","57","174522","0.0-32.0-7.2","","","test","downarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","58","175781","0.0-32.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","59","177089","0.0-32.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","60","177096","0.0-32.0-1.3","","","test","uparrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","177400","0.0-32.0-2.3","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","62","178406","0.0-32.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","63","178712","0.0-32.0-4.3","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","64","179715","0.0-32.0-5.3","","","test","uparrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","65","180022","0.0-32.0-6.3","","","fixation_4","","","","","",""
"26.200000002980232","arrows.png","40","image-keyboard-response","66","180052","0.0-32.0-7.3","","","test","uparrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","67","181391","0.0-32.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","68","182220","0.0-32.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","69","182229","0.0-32.0-1.4","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","70","182748","0.0-32.0-2.4","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","71","183755","0.0-32.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","72","184067","0.0-32.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","73","184075","0.0-32.0-5.4","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","74","184381","0.0-32.0-6.4","","","fixation_4","","","","","",""
"1275.4000000059605","arrows.png","39","image-keyboard-response","75","185661","0.0-32.0-7.4","","","test","uparrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","76","186915","0.0-32.0-8.4","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","77","188472","0.0-32.0-0.5","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","78","188479","0.0-32.0-1.5","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","79","188781","0.0-32.0-2.5","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","80","189789","0.0-32.0-3.5","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","81","190093","0.0-32.0-4.5","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","82","190099","0.0-32.0-5.5","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","83","190403","0.0-32.0-6.5","","","fixation_4","","","","","",""
"479.70000000298023","arrows.png","39","image-keyboard-response","84","190885","0.0-32.0-7.5","","","test","downarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","85","192145","0.0-32.0-8.5","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","86","193706","0.0-32.0-0.6","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","87","193713","0.0-32.0-1.6","","","test","leftarrow","0","1","FALSE","FALSE",""
