"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"6239.800000011921","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","39","html-keyboard-response","0","6250","0.0-0.0","","","","","","","","",""
"8510.300000011921","","","survey-text","1","14763","0.0-1.0","{""aws"":""A27W025UEXS1G0""}","","","","","","","",""
"13366.599999964237","","","survey-text","2","28132","0.0-2.0","{""age"":""34"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"22241.599999964237","","","instructions","3","50374","0.0-3.0","","[{""page_index"":0,""viewing_time"":1141.699999988079},{""page_index"":1,""viewing_time"":6628.699999988079},{""page_index"":2,""viewing_time"":4276.600000023842},{""page_index"":3,""viewing_time"":7681.199999988079},{""page_index"":4,""viewing_time"":2513.199999988079}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","51376","0.0-4.0","","","","","","","","",""
"692.8999999761581","arrows.png","38","image-keyboard-response","5","52370","0.0-5.0","","","","","","","","",""
"16009.699999988079","","","instructions","6","68380","0.0-6.0","","[{""page_index"":0,""viewing_time"":2470},{""page_index"":1,""viewing_time"":10023.600000023842},{""page_index"":2,""viewing_time"":3516}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","69381","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","70682","0.0-8.0","","","","","","","","",""
"322.5","arrows.png","38","image-keyboard-response","9","71306","0.0-9.0","","","","","","","","",""
"4598.899999976158","","","instructions","10","75905","0.0-10.0","","[{""page_index"":0,""viewing_time"":1390.1000000238419},{""page_index"":1,""viewing_time"":3208.599999964237}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","76905","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","78211","0.0-12.0","","","","","","","","",""
"281.10000002384186","arrows.png","39","image-keyboard-response","13","78794","0.0-13.0","","","","","","","","",""
"25049.700000047684","","","instructions","14","103844","0.0-14.0","","[{""page_index"":0,""viewing_time"":1081.1000000238419},{""page_index"":1,""viewing_time"":6192.699999988079},{""page_index"":2,""viewing_time"":6139.400000035763},{""page_index"":3,""viewing_time"":5633.399999976158},{""page_index"":4,""viewing_time"":6003}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","104845","0.0-15.0","","","","","","","","",""
"351.60000002384186","arrows.png","39","image-keyboard-response","16","105498","0.0-16.0","","","","","","","","",""
"19472.700000047684","","","instructions","17","124971","0.0-17.0","","[{""page_index"":0,""viewing_time"":3655},{""page_index"":1,""viewing_time"":9571},{""page_index"":2,""viewing_time"":6246.600000023842}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","125973","0.0-18.0","","","","","","","","",""
"856.8000000119209","arrows.png","39","image-keyboard-response","19","127130","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","128131","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","129433","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","130734","0.0-22.0","","","","","","","","",""
