"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"4450.799999952316","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","13","html-keyboard-response","0","4462","0.0-0.0","","","","","","","","",""
"3956.5","","","survey-text","1","8422","0.0-1.0","{""aws"":""A2LT6KC1X51FVW""}","","","","","","","",""
"13371.700000047684","","","survey-text","2","21797","0.0-2.0","{""age"":""30"",""english"":""Y"",""handedness"":""L"",""desktop"":""Y""}","","","","","","","",""
"58075.39999997616","","","instructions","3","79873","0.0-3.0","","[{""page_index"":0,""viewing_time"":1034.2999999523163},{""page_index"":1,""viewing_time"":11478.899999976158},{""page_index"":2,""viewing_time"":4492.899999976158},{""page_index"":3,""viewing_time"":38415},{""page_index"":4,""viewing_time"":2654.100000023842}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","80875","0.0-4.0","","","","","","","","",""
"1500.8999999761581","arrows.png","38","image-keyboard-response","5","82678","0.0-5.0","","","","","","","","",""
"14840.700000047684","","","instructions","6","97519","0.0-6.0","","[{""page_index"":0,""viewing_time"":1493.6000000238419},{""page_index"":1,""viewing_time"":9925},{""page_index"":2,""viewing_time"":3422}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","98520","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","99823","0.0-8.0","","","","","","","","",""
"377.7999999523163","arrows.png","38","image-keyboard-response","9","100501","0.0-9.0","","","","","","","","",""
"5367.899999976158","","","instructions","10","105870","0.0-10.0","","[{""page_index"":0,""viewing_time"":857.6999999284744},{""page_index"":1,""viewing_time"":4510.100000023842}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","106871","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","108174","0.0-12.0","","","","","","","","",""
"282.6999999284744","arrows.png","39","image-keyboard-response","13","108758","0.0-13.0","","","","","","","","",""
"55717.09999990463","","","instructions","14","164476","0.0-14.0","","[{""page_index"":0,""viewing_time"":761.7999999523163},{""page_index"":1,""viewing_time"":6157.899999976158},{""page_index"":2,""viewing_time"":28428},{""page_index"":3,""viewing_time"":5853},{""page_index"":4,""viewing_time"":14516.100000023842}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","165477","0.0-15.0","","","","","","","","",""
"1515.6999999284744","arrows.png","39","image-keyboard-response","16","167294","0.0-16.0","","","","","","","","",""
"15723.100000023842","","","instructions","17","183017","0.0-17.0","","[{""page_index"":0,""viewing_time"":5221.799999952316},{""page_index"":1,""viewing_time"":6548.100000023842},{""page_index"":2,""viewing_time"":3953}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","184019","0.0-18.0","","","","","","","","",""
"2764.7999999523163","arrows.png","39","image-keyboard-response","19","187086","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","188087","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","189389","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","190692","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","191994","0.0-23.0","","","","","","","","",""
"463.2999999523163","arrows.png","39","image-keyboard-response","24","192759","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","193760","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","195061","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","196362","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","197663","0.0-28.0","","","","","","","","",""
"305.09999990463257","arrows.png","38","image-keyboard-response","29","198270","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","199271","0.0-30.0","","","","","","","","",""
"431875","","","instructions","31","631446","0.0-31.0","","[{""page_index"":0,""viewing_time"":17225.299999952316},{""page_index"":1,""viewing_time"":1563},{""page_index"":2,""viewing_time"":14284},{""page_index"":3,""viewing_time"":14710},{""page_index"":4,""viewing_time"":331364.89999997616},{""page_index"":5,""viewing_time"":17658.5},{""page_index"":6,""viewing_time"":29155.100000023842},{""page_index"":7,""viewing_time"":5913.899999976158}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","631749","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","631752","0.0-32.0-1.0","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","632053","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","35","633055","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","633361","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","634370","0.0-32.0-5.0","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","634672","0.0-32.0-6.0","","","fixation_4","","","","","",""
"1079.0999999046326","arrows.png","40","image-keyboard-response","39","635751","0.0-32.0-7.0","","","test","rightarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","637003","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","638068","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","638073","0.0-32.0-1.1","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","638373","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","44","639375","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","639677","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","640690","0.0-32.0-5.1","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","640991","0.0-32.0-6.1","","","fixation_4","","","","","",""
"215.20000004768372","arrows.png","38","image-keyboard-response","48","641207","0.0-32.0-7.1","","","test","uparrow","0","1","TRUE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","49","642459","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","643261","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","643266","0.0-32.0-1.2","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","643567","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","53","644569","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","644870","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","645871","0.0-32.0-5.2","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","646172","0.0-32.0-6.2","","","fixation_4","","","","","",""
"162.29999995231628","arrows.png","39","image-keyboard-response","57","646335","0.0-32.0-7.2","","","test","leftarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","58","647587","0.0-32.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","59","648890","0.0-32.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","60","648895","0.0-32.0-1.3","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","649196","0.0-32.0-2.3","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","62","650197","0.0-32.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","63","650499","0.0-32.0-4.3","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","64","651501","0.0-32.0-5.3","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","65","651802","0.0-32.0-6.3","","","fixation_4","","","","","",""
"300.7000000476837","arrows.png","40","image-keyboard-response","66","652103","0.0-32.0-7.3","","","test","downarrow","1","1","TRUE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","67","653355","0.0-32.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","68","654407","0.0-32.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","69","654413","0.0-32.0-1.4","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","70","654713","0.0-32.0-2.4","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","71","655714","0.0-32.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","72","656015","0.0-32.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","73","656021","0.0-32.0-5.4","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","74","656322","0.0-32.0-6.4","","","fixation_4","","","","","",""
"1540.6000000238419","arrows.png","38","image-keyboard-response","75","657863","0.0-32.0-7.4","","","test","uparrow","0","1","FALSE","FALSE","true"
