"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"6894.200000047684","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","6927","0.0-0.0","","","","","","","","",""
"4648","","","survey-text","1","11585","0.0-1.0","{""aws"":""A2O2Q0LVWOWJ1G""}","","","","","","","",""
"10233.400000035763","","","survey-text","2","21832","0.0-2.0","{""age"":""47"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"50195.30000001192","","","instructions","3","72032","0.0-3.0","","[{""page_index"":0,""viewing_time"":1696},{""page_index"":1,""viewing_time"":16210.699999988079},{""page_index"":2,""viewing_time"":8652},{""page_index"":3,""viewing_time"":20055.399999976158},{""page_index"":4,""viewing_time"":3580.2000000476837}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","73037","0.0-4.0","","","","","","","","",""
"620.6000000238419","arrows.png","38","image-keyboard-response","5","73961","0.0-5.0","","","","","","","","",""
"19453","","","instructions","6","93415","0.0-6.0","","[{""page_index"":0,""viewing_time"":3872.399999976158},{""page_index"":1,""viewing_time"":10667.700000047684},{""page_index"":2,""viewing_time"":4912}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","94419","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","95722","0.0-8.0","","","","","","","","",""
"2271.5","arrows.png","38","image-keyboard-response","9","98297","0.0-9.0","","","","","","","","",""
"9513.099999964237","","","instructions","10","107813","0.0-10.0","","[{""page_index"":0,""viewing_time"":2492.099999964237},{""page_index"":1,""viewing_time"":7020.300000011921}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","108816","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","110119","0.0-12.0","","","","","","","","",""
"631.8999999761581","arrows.png","39","image-keyboard-response","13","111053","0.0-13.0","","","","","","","","",""
"60033.90000003576","","","instructions","14","171089","0.0-14.0","","[{""page_index"":0,""viewing_time"":2030.2000000476837},{""page_index"":1,""viewing_time"":10027.899999976158},{""page_index"":2,""viewing_time"":36551.19999998808},{""page_index"":3,""viewing_time"":6075.800000011921},{""page_index"":4,""viewing_time"":5347.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","172092","0.0-15.0","","","","","","","","",""
"792.1000000238419","arrows.png","39","image-keyboard-response","16","173186","0.0-16.0","","","","","","","","",""
"23701.19999998808","","","instructions","17","196888","0.0-17.0","","[{""page_index"":0,""viewing_time"":3304.599999964237},{""page_index"":1,""viewing_time"":12803.700000047684},{""page_index"":2,""viewing_time"":7591.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","197892","0.0-18.0","","","","","","","","",""
"495.5","arrows.png","39","image-keyboard-response","19","198690","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","199692","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","200995","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","202298","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","203601","0.0-23.0","","","","","","","","",""
"3969.899999976158","arrows.png","39","image-keyboard-response","24","207873","0.0-24.0","","","","","","","","",""
