"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"10508.5","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","10517","0.0-0.0","","","","","","","","",""
"4218.4000000059605","","","survey-text","1","14743","0.0-1.0","{""aws"":""A3N0QZ9ZKUCTCQ""}","","","","","","","",""
"9767.199999988079","","","survey-text","2","24519","0.0-2.0","{""age"":""33"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"24895.19999998808","","","instructions","3","49414","0.0-3.0","","[{""page_index"":0,""viewing_time"":918.8000000119209},{""page_index"":1,""viewing_time"":5752},{""page_index"":2,""viewing_time"":2119.699999988079},{""page_index"":3,""viewing_time"":13944.300000011921},{""page_index"":4,""viewing_time"":2160.199999988079}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","50417","0.0-4.0","","","","","","","","",""
"739.8000000119209","arrows.png","38","image-keyboard-response","5","51459","0.0-5.0","","","","","","","","",""
"21505.399999976158","","","instructions","6","72966","0.0-6.0","","[{""page_index"":0,""viewing_time"":946.5999999940395},{""page_index"":1,""viewing_time"":14735.799999982119},{""page_index"":2,""viewing_time"":5822.700000017881}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","73968","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","75272","0.0-8.0","","","","","","","","",""
"271.59999999403954","arrows.png","38","image-keyboard-response","9","75849","0.0-9.0","","","","","","","","",""
"5533","","","instructions","10","81383","0.0-10.0","","[{""page_index"":0,""viewing_time"":941.5},{""page_index"":1,""viewing_time"":4591.100000023842}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","82388","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","83693","0.0-12.0","","","","","","","","",""
"301.2000000178814","arrows.png","39","image-keyboard-response","13","84298","0.0-13.0","","","","","","","","",""
"43723.69999998808","","","instructions","14","128022","0.0-14.0","","[{""page_index"":0,""viewing_time"":1163.7999999821186},{""page_index"":1,""viewing_time"":5231.9000000059605},{""page_index"":2,""viewing_time"":3864.199999988079},{""page_index"":3,""viewing_time"":10152.100000023842},{""page_index"":4,""viewing_time"":23311.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","129025","0.0-15.0","","","","","","","","",""
"295.2000000178814","arrows.png","39","image-keyboard-response","16","129623","0.0-16.0","","","","","","","","",""
"9927.5","","","instructions","17","139551","0.0-17.0","","[{""page_index"":0,""viewing_time"":2791.300000011921},{""page_index"":1,""viewing_time"":4647.699999988079},{""page_index"":2,""viewing_time"":2488.4000000059605}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","140558","0.0-18.0","","","","","","","","",""
"7054.4000000059605","arrows.png","39","image-keyboard-response","19","147915","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","148917","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","150220","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","151523","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","152832","0.0-23.0","","","","","","","","",""
"393.7000000178814","arrows.png","39","image-keyboard-response","24","153528","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","154530","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","155832","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","157136","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","158442","0.0-28.0","","","","","","","","",""
"318.5","arrows.png","38","image-keyboard-response","29","159065","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","160067","0.0-30.0","","","","","","","","",""
"40453.5","","","instructions","31","200822","0.0-31.0","","[{""page_index"":0,""viewing_time"":9173.200000017881},{""page_index"":1,""viewing_time"":1248.2999999821186},{""page_index"":2,""viewing_time"":5807.9000000059605},{""page_index"":3,""viewing_time"":11456},{""page_index"":4,""viewing_time"":3313.4000000059605},{""page_index"":5,""viewing_time"":2838.5},{""page_index"":6,""viewing_time"":5520},{""page_index"":7,""viewing_time"":1095.9000000059605}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","201123","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","201130","0.0-32.0-1.0","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","201432","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","35","202435","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","202737","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","203740","0.0-32.0-5.0","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","204042","0.0-32.0-6.0","","","fixation_4","","","","","",""
"589.0999999940395","arrows.png","37","image-keyboard-response","39","204633","0.0-32.0-7.0","","","test","rightarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","205887","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","207190","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","207197","0.0-32.0-1.1","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","207499","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","44","208501","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","208803","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","209806","0.0-32.0-5.1","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","210107","0.0-32.0-6.1","","","fixation_4","","","","","",""
"230.39999997615814","arrows.png","37","image-keyboard-response","48","210339","0.0-32.0-7.1","","","test","uparrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","211601","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","212904","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","212910","0.0-32.0-1.2","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","213213","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","53","214215","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","214517","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","215521","0.0-32.0-5.2","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","215822","0.0-32.0-6.2","","","fixation_4","","","","","",""
"85.80000001192093","arrows.png","37","image-keyboard-response","57","215910","0.0-32.0-7.2","","","test","downarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","58","217164","0.0-32.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","59","218468","0.0-32.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","60","218475","0.0-32.0-1.3","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","218777","0.0-32.0-2.3","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","62","219783","0.0-32.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","63","220084","0.0-32.0-4.3","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","64","221086","0.0-32.0-5.3","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","65","221388","0.0-32.0-6.3","","","fixation_4","","","","","",""
"308.90000000596046","arrows.png","37","image-keyboard-response","66","221698","0.0-32.0-7.3","","","test","leftarrow","1","1","TRUE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","67","222952","0.0-32.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","68","224254","0.0-32.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","69","224261","0.0-32.0-1.4","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","70","224568","0.0-32.0-2.4","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","71","225570","0.0-32.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","72","225871","0.0-32.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","73","225877","0.0-32.0-5.4","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","74","226178","0.0-32.0-6.4","","","fixation_4","","","","","",""
"701.0999999940395","arrows.png","38","image-keyboard-response","75","226880","0.0-32.0-7.4","","","test","rightarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","76","228133","0.0-32.0-8.4","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","77","228687","0.0-32.0-0.5","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","78","228693","0.0-32.0-1.5","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","79","228995","0.0-32.0-2.5","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","80","229997","0.0-32.0-3.5","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","81","230300","0.0-32.0-4.5","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","82","230309","0.0-32.0-5.5","","","test","uparrow","0","1","FALSE","FALSE",""
