"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"6178.900000095367","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","39","html-keyboard-response","0","6230","0.0-0.0","","","","","","","","",""
"4970.100000023842","","","survey-text","1","11207","0.0-1.0","{""aws"":""A4W9APAHFWVLO""}","","","","","","","",""
"14696.800000071526","","","survey-text","2","25918","0.0-2.0","{""age"":""40"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"43463.39999997616","","","instructions","3","69383","0.0-3.0","","[{""page_index"":0,""viewing_time"":2217.899999976158},{""page_index"":1,""viewing_time"":13766.5},{""page_index"":2,""viewing_time"":7595.299999952316},{""page_index"":3,""viewing_time"":16790.800000071526},{""page_index"":4,""viewing_time"":3092.399999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","70388","0.0-4.0","","","","","","","","",""
"275.10000002384186","arrows.png","38","image-keyboard-response","5","70965","0.0-5.0","","","","","","","","",""
"37330.799999952316","","","instructions","6","108296","0.0-6.0","","[{""page_index"":0,""viewing_time"":2603.2000000476837},{""page_index"":1,""viewing_time"":32074.199999928474},{""page_index"":2,""viewing_time"":2653}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","109321","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","110670","0.0-8.0","","","","","","","","",""
"334.2999999523163","arrows.png","38","image-keyboard-response","9","111326","0.0-9.0","","","","","","","","",""
"6624.699999928474","","","instructions","10","117951","0.0-10.0","","[{""page_index"":0,""viewing_time"":1706.5},{""page_index"":1,""viewing_time"":4917.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","118973","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","120293","0.0-12.0","","","","","","","","",""
"276.2000000476837","arrows.png","39","image-keyboard-response","13","120901","0.0-13.0","","","","","","","","",""
"49637.39999997616","","","instructions","14","170539","0.0-14.0","","[{""page_index"":0,""viewing_time"":1649},{""page_index"":1,""viewing_time"":17617.399999976158},{""page_index"":2,""viewing_time"":20402.699999928474},{""page_index"":3,""viewing_time"":4015.9000000953674},{""page_index"":4,""viewing_time"":5952}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","171541","0.0-15.0","","","","","","","","",""
"3815","arrows.png","39","image-keyboard-response","16","175661","0.0-16.0","","","","","","","","",""
"19639.299999952316","","","instructions","17","195300","0.0-17.0","","[{""page_index"":0,""viewing_time"":2903.100000023842},{""page_index"":1,""viewing_time"":12141},{""page_index"":2,""viewing_time"":4594.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","196302","0.0-18.0","","","","","","","","",""
"760.5","arrows.png","39","image-keyboard-response","19","197364","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","198367","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","199674","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","200983","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","202285","0.0-23.0","","","","","","","","",""
