"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"6765.5","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","6792","0.0-0.0","","","","","","","","",""
"5515.800000000047","","","survey-text","1","12315","0.0-1.0","{""aws"":""A5EU1AQJNC7F2""}","","","","","","","",""
"4520.800000000047","","","survey-text","2","16840","0.0-2.0","{""age"":""33"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"94145.79999999981","","","instructions","3","110991","0.0-3.0","","[{""page_index"":0,""viewing_time"":1497.5},{""page_index"":1,""viewing_time"":72754.29999999981},{""page_index"":2,""viewing_time"":2123.2000000001863},{""page_index"":3,""viewing_time"":14620.899999999907},{""page_index"":4,""viewing_time"":3149.600000000093}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","111994","0.0-4.0","","","","","","","","",""
"795.3999999999069","arrows.png","38","image-keyboard-response","5","113091","0.0-5.0","","","","","","","","",""
"15000.40000000014","","","instructions","6","128092","0.0-6.0","","[{""page_index"":0,""viewing_time"":2135.1999999999534},{""page_index"":1,""viewing_time"":10168.300000000047},{""page_index"":2,""viewing_time"":2696.600000000093}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","129094","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","130396","0.0-8.0","","","","","","","","",""
"909.3999999999069","arrows.png","38","image-keyboard-response","9","131608","0.0-9.0","","","","","","","","",""
"5166.40000000014","","","instructions","10","136775","0.0-10.0","","[{""page_index"":0,""viewing_time"":1694.5},{""page_index"":1,""viewing_time"":3471.600000000093}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","137777","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","139079","0.0-12.0","","","","","","","","",""
"260.80000000004657","arrows.png","39","image-keyboard-response","13","139642","0.0-13.0","","","","","","","","",""
"18594.199999999953","","","instructions","14","158237","0.0-14.0","","[{""page_index"":0,""viewing_time"":1206.6999999999534},{""page_index"":1,""viewing_time"":3219.5999999998603},{""page_index"":2,""viewing_time"":6097.90000000014},{""page_index"":3,""viewing_time"":4447},{""page_index"":4,""viewing_time"":3622.6999999999534}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","159239","0.0-15.0","","","","","","","","",""
"539.3000000000466","arrows.png","39","image-keyboard-response","16","160080","0.0-16.0","","","","","","","","",""
"10019.800000000047","","","instructions","17","170100","0.0-17.0","","[{""page_index"":0,""viewing_time"":2685.0999999998603},{""page_index"":1,""viewing_time"":5010},{""page_index"":2,""viewing_time"":2324.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","171102","0.0-18.0","","","","","","","","",""
"372.9000000001397","arrows.png","39","image-keyboard-response","19","171776","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","172778","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","174081","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","175383","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","176685","0.0-23.0","","","","","","","","",""
"4141.100000000093","arrows.png","39","image-keyboard-response","24","181128","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","182130","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","183432","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","184735","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","186039","0.0-28.0","","","","","","","","",""
"371.9000000001397","arrows.png","38","image-keyboard-response","29","186713","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","187714","0.0-30.0","","","","","","","","",""
