"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"3283.4000000059605","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","3315","0.0-0.0","","","","","","","","",""
"3781.5999999940395","","","survey-text","1","7101","0.0-1.0","{""aws"":""AK2C9AX5QJWUU""}","","","","","","","",""
"81658.30000001192","","","survey-text","2","88772","0.0-2.0","{""age"":""53"",""english"":""yes"",""handedness"":""right"",""desktop"":""yes""}","","","","","","","",""
"256185.19999998808","","","instructions","3","344960","0.0-3.0","","[{""page_index"":0,""viewing_time"":1547.0999999940395},{""page_index"":1,""viewing_time"":156110.59999999404},{""page_index"":2,""viewing_time"":39247.19999998808},{""page_index"":3,""viewing_time"":55879.40000000596},{""page_index"":4,""viewing_time"":3399.9000000059605}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","345962","0.0-4.0","","","","","","","","",""
"38.89999997615814","arrows.png","38","image-keyboard-response","5","346303","0.0-5.0","","","","","","","","",""
"33655.09999999404","","","instructions","6","379958","0.0-6.0","","[{""page_index"":0,""viewing_time"":2591.5999999940395},{""page_index"":1,""viewing_time"":26415.30000001192},{""page_index"":2,""viewing_time"":4647.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","380968","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","382271","0.0-8.0","","","","","","","","",""
"617.0999999940395","arrows.png","38","image-keyboard-response","9","383190","0.0-9.0","","","","","","","","",""
"7328","","","instructions","10","390518","0.0-10.0","","[{""page_index"":0,""viewing_time"":2071.699999988079},{""page_index"":1,""viewing_time"":5256}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","391521","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","392823","0.0-12.0","","","","","","","","",""
"377.5","arrows.png","39","image-keyboard-response","13","393502","0.0-13.0","","","","","","","","",""
"122150.39999997616","","","instructions","14","515653","0.0-14.0","","[{""page_index"":0,""viewing_time"":2559.2999999821186},{""page_index"":1,""viewing_time"":74015.30000001192},{""page_index"":2,""viewing_time"":29607.59999999404},{""page_index"":3,""viewing_time"":3792},{""page_index"":4,""viewing_time"":12175.90000000596}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","516656","0.0-15.0","","","","","","","","",""
"639.5999999940395","arrows.png","39","image-keyboard-response","16","517596","0.0-16.0","","","","","","","","",""
"22648.5","","","instructions","17","540245","0.0-17.0","","[{""page_index"":0,""viewing_time"":4480.200000017881},{""page_index"":1,""viewing_time"":8112.4000000059605},{""page_index"":2,""viewing_time"":10055.09999999404}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","541247","0.0-18.0","","","","","","","","",""
"702.3000000119209","arrows.png","39","image-keyboard-response","19","542252","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","543253","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","544555","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","545864","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","547167","0.0-23.0","","","","","","","","",""
"2215","arrows.png","39","image-keyboard-response","24","549684","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","550685","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","551987","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","553294","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","554596","0.0-28.0","","","","","","","","",""
"450.09999999403954","arrows.png","38","image-keyboard-response","29","555348","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","556350","0.0-30.0","","","","","","","","",""
"191078.69999998808","","","instructions","31","747731","0.0-31.0","","[{""page_index"":0,""viewing_time"":21767.69999998808},{""page_index"":1,""viewing_time"":1448.0999999940395},{""page_index"":2,""viewing_time"":14343.90000000596},{""page_index"":3,""viewing_time"":16591.90000000596},{""page_index"":4,""viewing_time"":97902.90000000596},{""page_index"":5,""viewing_time"":4671.9000000059605},{""page_index"":6,""viewing_time"":29287.69999998808},{""page_index"":7,""viewing_time"":5064}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","748033","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","748038","0.0-32.0-1.0","","","test","rightarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","748338","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","35","749339","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","749640","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","750641","0.0-32.0-5.0","","","test","rightarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","750942","0.0-32.0-6.0","","","fixation_4","","","","","",""
"922.4000000059605","arrows.png","38","image-keyboard-response","39","751866","0.0-32.0-7.0","","","test","rightarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","753119","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","753922","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","753927","0.0-32.0-1.1","","","test","leftarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","754229","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","44","755231","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","755533","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","756535","0.0-32.0-5.1","","","test","leftarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","756836","0.0-32.0-6.1","","","fixation_4","","","","","",""
"661.1999999880791","arrows.png","39","image-keyboard-response","48","757498","0.0-32.0-7.1","","","test","leftarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","758751","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","760053","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","760059","0.0-32.0-1.2","","","test","downarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","760360","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","53","761362","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","761684","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","762687","0.0-32.0-5.2","","","test","downarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","762988","0.0-32.0-6.2","","","fixation_4","","","","","",""
"333.80000001192093","arrows.png","38","image-keyboard-response","57","763322","0.0-32.0-7.2","","","test","downarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","58","764576","0.0-32.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","59","765879","0.0-32.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","60","765884","0.0-32.0-1.3","","","test","uparrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","766186","0.0-32.0-2.3","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","62","767187","0.0-32.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","63","767488","0.0-32.0-4.3","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","64","768490","0.0-32.0-5.3","","","test","uparrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","65","768794","0.0-32.0-6.3","","","fixation_4","","","","","",""
"1638.7000000178814","arrows.png","40","image-keyboard-response","66","770434","0.0-32.0-7.3","","","test","uparrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","67","771686","0.0-32.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","68","772489","0.0-32.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","69","772495","0.0-32.0-1.4","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","70","772799","0.0-32.0-2.4","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","71","773801","0.0-32.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","72","774103","0.0-32.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","73","774107","0.0-32.0-5.4","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","74","774409","0.0-32.0-6.4","","","fixation_4","","","","","",""
"1752.9000000059605","arrows.png","39","image-keyboard-response","75","776163","0.0-32.0-7.4","","","test","uparrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","76","777414","0.0-32.0-8.4","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","77","778971","0.0-32.0-0.5","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","78","778977","0.0-32.0-1.5","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","79","779278","0.0-32.0-2.5","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","80","780280","0.0-32.0-3.5","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","81","780581","0.0-32.0-4.5","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","82","780586","0.0-32.0-5.5","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","83","780887","0.0-32.0-6.5","","","fixation_4","","","","","",""
"1033.5","arrows.png","38","image-keyboard-response","84","781922","0.0-32.0-7.5","","","test","downarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","85","783174","0.0-32.0-8.5","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","86","784727","0.0-32.0-0.6","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","87","784732","0.0-32.0-1.6","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","88","785036","0.0-32.0-2.6","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","89","786039","0.0-32.0-3.6","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","90","786352","0.0-32.0-4.6","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","91","786363","0.0-32.0-5.6","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","92","786663","0.0-32.0-6.6","","","fixation_4","","","","","",""
"825.9000000059605","arrows.png","37","image-keyboard-response","93","787490","0.0-32.0-7.6","","","test","leftarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","94","788742","0.0-32.0-8.6","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","95","790310","0.0-32.0-0.7","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","96","790316","0.0-32.0-1.7","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","97","790618","0.0-32.0-2.7","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","98","791618","0.0-32.0-3.7","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","99","791920","0.0-32.0-4.7","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","100","791925","0.0-32.0-5.7","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","101","792227","0.0-32.0-6.7","","","fixation_4","","","","","",""
"358.09999999403954","arrows.png","37","image-keyboard-response","102","792586","0.0-32.0-7.7","","","test","rightarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","103","793851","0.0-32.0-8.7","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","104","794403","0.0-32.0-0.8","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","105","794408","0.0-32.0-1.8","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","106","794715","0.0-32.0-2.8","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","107","795717","0.0-32.0-3.8","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","108","796019","0.0-32.0-4.8","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","109","796024","0.0-32.0-5.8","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","110","796326","0.0-32.0-6.8","","","fixation_4","","","","","",""
"1508.0999999940395","arrows.png","39","image-keyboard-response","111","797835","0.0-32.0-7.8","","","test","downarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","112","799087","0.0-32.0-8.8","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","113","799889","0.0-32.0-0.9","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","114","799894","0.0-32.0-1.9","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","115","800195","0.0-32.0-2.9","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","116","801197","0.0-32.0-3.9","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","117","801499","0.0-32.0-4.9","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","118","801504","0.0-32.0-5.9","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","119","801805","0.0-32.0-6.9","","","fixation_4","","","","","",""
"411.59999999403954","arrows.png","37","image-keyboard-response","120","802218","0.0-32.0-7.9","","","test","leftarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","121","803469","0.0-32.0-8.9","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","122","805022","0.0-32.0-0.10","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","123","805029","0.0-32.0-1.10","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","124","805329","0.0-32.0-2.10","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","125","806331","0.0-32.0-3.10","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","126","806632","0.0-32.0-4.10","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","127","806637","0.0-32.0-5.10","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","128","806938","0.0-32.0-6.10","","","fixation_4","","","","","",""
"374.59999999403954","arrows.png","39","image-keyboard-response","129","807314","0.0-32.0-7.10","","","test","rightarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","130","808573","0.0-32.0-8.10","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","131","809375","0.0-32.0-0.11","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","132","809380","0.0-32.0-1.11","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","133","809682","0.0-32.0-2.11","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","134","810684","0.0-32.0-3.11","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","135","810985","0.0-32.0-4.11","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","136","810990","0.0-32.0-5.11","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","137","811291","0.0-32.0-6.11","","","fixation_4","","","","","",""
"854.7000000178814","arrows.png","40","image-keyboard-response","138","812146","0.0-32.0-7.11","","","test","uparrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","139","813398","0.0-32.0-8.11","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","140","814700","0.0-32.0-0.12","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","141","814706","0.0-32.0-1.12","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","142","815008","0.0-32.0-2.12","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","143","816009","0.0-32.0-3.12","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","144","816311","0.0-32.0-4.12","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","145","816317","0.0-32.0-5.12","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","146","816626","0.0-32.0-6.12","","","fixation_4","","","","","",""
"990.5999999940395","arrows.png","37","image-keyboard-response","147","817617","0.0-32.0-7.12","","","test","leftarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","148","818870","0.0-32.0-8.12","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","149","819922","0.0-32.0-0.13","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","150","819927","0.0-32.0-1.13","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","151","820227","0.0-32.0-2.13","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","152","821229","0.0-32.0-3.13","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","153","821581","0.0-32.0-4.13","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","154","821645","0.0-32.0-5.13","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","155","821948","0.0-32.0-6.13","","","fixation_4","","","","","",""
"733.4000000059605","arrows.png","38","image-keyboard-response","156","822682","0.0-32.0-7.13","","","test","uparrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","157","823935","0.0-32.0-8.13","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","158","825238","0.0-32.0-0.14","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","159","825243","0.0-32.0-1.14","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","160","825544","0.0-32.0-2.14","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","161","826545","0.0-32.0-3.14","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","162","826846","0.0-32.0-4.14","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","163","826851","0.0-32.0-5.14","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","164","827152","0.0-32.0-6.14","","","fixation_4","","","","","",""
"1736.9000000059605","arrows.png","39","image-keyboard-response","165","828889","0.0-32.0-7.14","","","test","downarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","166","830141","0.0-32.0-8.14","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","167","831193","0.0-32.0-0.15","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","168","831199","0.0-32.0-1.15","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","169","831501","0.0-32.0-2.15","","","fixation_2","","","","","",""
