"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"25522.5","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","77","html-keyboard-response","0","25535","0.0-0.0","","","","","","","","",""
"6474.700000047684","","","survey-text","1","32013","0.0-1.0","{""aws"":""A1P6OXEJ86HQRM""}","","","","","","","",""
"8236.699999928474","","","survey-text","2","40254","0.0-2.0","{""age"":""39"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"41423.60000002384","","","instructions","3","81678","0.0-3.0","","[{""page_index"":0,""viewing_time"":1778.2000000476837},{""page_index"":1,""viewing_time"":14872.099999904633},{""page_index"":2,""viewing_time"":4875.400000095367},{""page_index"":3,""viewing_time"":17325.599999904633},{""page_index"":4,""viewing_time"":2572}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","82681","0.0-4.0","","","","","","","","",""
"705.8999999761581","arrows.png","38","image-keyboard-response","5","83689","0.0-5.0","","","","","","","","",""
"17638.899999976158","","","instructions","6","101328","0.0-6.0","","[{""page_index"":0,""viewing_time"":2166.600000023842},{""page_index"":1,""viewing_time"":11106.199999928474},{""page_index"":2,""viewing_time"":4365.800000071526}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","102330","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","103633","0.0-8.0","","","","","","","","",""
"640.7999999523163","arrows.png","38","image-keyboard-response","9","104575","0.0-9.0","","","","","","","","",""
"8202.700000047684","","","instructions","10","112778","0.0-10.0","","[{""page_index"":0,""viewing_time"":1129.7999999523163},{""page_index"":1,""viewing_time"":7072.700000047684}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","113780","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","115089","0.0-12.0","","","","","","","","",""
"686.6000000238419","arrows.png","39","image-keyboard-response","13","116078","0.0-13.0","","","","","","","","",""
"31215.100000023842","","","instructions","14","147293","0.0-14.0","","[{""page_index"":0,""viewing_time"":1067.8000000715256},{""page_index"":1,""viewing_time"":6724},{""page_index"":2,""viewing_time"":11560.100000023842},{""page_index"":3,""viewing_time"":5536.399999976158},{""page_index"":4,""viewing_time"":6326.600000023842}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","148295","0.0-15.0","","","","","","","","",""
"579.8000000715256","arrows.png","39","image-keyboard-response","16","149178","0.0-16.0","","","","","","","","",""
"38669.799999952316","","","instructions","17","187848","0.0-17.0","","[{""page_index"":0,""viewing_time"":6244.100000023842},{""page_index"":1,""viewing_time"":8136.599999904633},{""page_index"":2,""viewing_time"":24288.800000071526}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","188850","0.0-18.0","","","","","","","","",""
"1169","arrows.png","39","image-keyboard-response","19","190322","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","191323","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","192626","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","193929","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","195233","0.0-23.0","","","","","","","","",""
"450.39999997615814","arrows.png","39","image-keyboard-response","24","195985","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","196986","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","198288","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","199592","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","200895","0.0-28.0","","","","","","","","",""
"739.6999999284744","arrows.png","38","image-keyboard-response","29","201937","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","202938","0.0-30.0","","","","","","","","",""
"77705.20000004768","","","instructions","31","280944","0.0-31.0","","[{""page_index"":0,""viewing_time"":16970.300000071526},{""page_index"":1,""viewing_time"":1365.2999999523163},{""page_index"":2,""viewing_time"":10178},{""page_index"":3,""viewing_time"":20781.899999976158},{""page_index"":4,""viewing_time"":8632.100000023842},{""page_index"":5,""viewing_time"":4477.799999952316},{""page_index"":6,""viewing_time"":5415.100000023842},{""page_index"":7,""viewing_time"":9884.600000023842}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","281245","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","281248","0.0-32.0-1.0","","","test","leftarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","281550","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","35","282552","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","282853","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","283855","0.0-32.0-5.0","","","test","leftarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","284157","0.0-32.0-6.0","","","fixation_4","","","","","",""
"524.5999999046326","arrows.png","38","image-keyboard-response","39","284683","0.0-32.0-7.0","","","test","leftarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","285935","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","286737","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","286743","0.0-32.0-1.1","","","test","downarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","287045","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","44","288047","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","288349","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","289352","0.0-32.0-5.1","","","test","downarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","289653","0.0-32.0-6.1","","","fixation_4","","","","","",""
"629.8999999761581","arrows.png","38","image-keyboard-response","48","290285","0.0-32.0-7.1","","","test","downarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","291537","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","292839","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","292844","0.0-32.0-1.2","","","test","uparrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","293147","0.0-32.0-2.2","","","fixation_2","","","","","",""
