"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"14233.199999988079","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","14263","0.0-0.0","","","","","","","","",""
"32024.5","","","survey-text","1","46292","0.0-1.0","{""aws"":""A1RV2LERVS0A4H""}","","","","","","","",""
"92448.5","","","survey-text","2","138746","0.0-2.0","{""age"":""34"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"69953.10000000894","","","instructions","3","208700","0.0-3.0","","[{""page_index"":0,""viewing_time"":2329},{""page_index"":1,""viewing_time"":11269.60000000894},{""page_index"":2,""viewing_time"":7334.0999999940395},{""page_index"":3,""viewing_time"":30690},{""page_index"":4,""viewing_time"":18329.90000000596}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","209703","0.0-4.0","","","","","","","","",""
"877","arrows.png","38","image-keyboard-response","5","210884","0.0-5.0","","","","","","","","",""
"42936.89999999106","","","instructions","6","253822","0.0-6.0","","[{""page_index"":0,""viewing_time"":3028.5},{""page_index"":1,""viewing_time"":26568},{""page_index"":2,""viewing_time"":13340}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","254824","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","256127","0.0-8.0","","","","","","","","",""
"358.20000000298023","arrows.png","38","image-keyboard-response","9","256788","0.0-9.0","","","","","","","","",""
"9639.79999999702","","","instructions","10","266428","0.0-10.0","","[{""page_index"":0,""viewing_time"":2907.0999999940395},{""page_index"":1,""viewing_time"":6732.20000000298}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","267429","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","268731","0.0-12.0","","","","","","","","",""
"440","arrows.png","39","image-keyboard-response","13","269472","0.0-13.0","","","","","","","","",""
"80805.19999998808","","","instructions","14","350277","0.0-14.0","","[{""page_index"":0,""viewing_time"":1849},{""page_index"":1,""viewing_time"":27395.69999998808},{""page_index"":2,""viewing_time"":16758.10000000894},{""page_index"":3,""viewing_time"":16730.09999999404},{""page_index"":4,""viewing_time"":18072}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","351279","0.0-15.0","","","","","","","","",""
"639.3999999910593","arrows.png","39","image-keyboard-response","16","352221","0.0-16.0","","","","","","","","",""
"33625.60000000894","","","instructions","17","385847","0.0-17.0","","[{""page_index"":0,""viewing_time"":8009.100000008941},{""page_index"":1,""viewing_time"":17516.70000000298},{""page_index"":2,""viewing_time"":8099.399999991059}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","386848","0.0-18.0","","","","","","","","",""
"855.6999999880791","arrows.png","39","image-keyboard-response","19","388007","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","389009","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","390313","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","391614","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","392917","0.0-23.0","","","","","","","","",""
"390.59999999403954","arrows.png","39","image-keyboard-response","24","393609","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","394611","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","395913","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","397216","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","398519","0.0-28.0","","","","","","","","",""
"441","arrows.png","38","image-keyboard-response","29","399268","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","400270","0.0-30.0","","","","","","","","",""
"283822.700000003","","","instructions","31","684394","0.0-31.0","","[{""page_index"":0,""viewing_time"":16272.79999999702},{""page_index"":1,""viewing_time"":2056.2000000029802},{""page_index"":2,""viewing_time"":19207.70000000298},{""page_index"":3,""viewing_time"":11724.199999988079},{""page_index"":4,""viewing_time"":150015.80000001192},{""page_index"":5,""viewing_time"":4385.5},{""page_index"":6,""viewing_time"":76966.39999999106},{""page_index"":7,""viewing_time"":3193.7999999970198}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","684696","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","684700","0.0-32.0-1.0","","","test","leftarrow","0","1","TRUE","FALSE",""
