"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"3075.5","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","13","html-keyboard-response","0","3093","0.0-0.0","","","","","","","","",""
"4232.899999976158","","","survey-text","1","7331","0.0-1.0","{""aws"":""A1T3ROSW2LC4FG""}","","","","","","","",""
"12618.100000023842","","","survey-text","2","19956","0.0-2.0","{""age"":""54"",""english"":""y"",""handedness"":""r"",""desktop"":""y""}","","","","","","","",""
"15296","","","instructions","3","35252","0.0-3.0","","[{""page_index"":0,""viewing_time"":1448.800000011921},{""page_index"":1,""viewing_time"":9540.699999988079},{""page_index"":2,""viewing_time"":1224.1000000238419},{""page_index"":3,""viewing_time"":1648},{""page_index"":4,""viewing_time"":1433.8999999761581}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","36255","0.0-4.0","","","","","","","","",""
"1183.6000000238419","arrows.png","38","image-keyboard-response","5","37751","0.0-5.0","","","","","","","","",""
"4915.199999988079","","","instructions","6","42667","0.0-6.0","","[{""page_index"":0,""viewing_time"":1787.5},{""page_index"":1,""viewing_time"":1671.5},{""page_index"":2,""viewing_time"":1455.9000000357628}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","43669","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","44972","0.0-8.0","","","","","","","","",""
"668","arrows.png","38","image-keyboard-response","9","45941","0.0-9.0","","","","","","","","",""
"2852.899999976158","","","instructions","10","48794","0.0-10.0","","[{""page_index"":0,""viewing_time"":1798.199999988079},{""page_index"":1,""viewing_time"":1054.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","49796","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","51099","0.0-12.0","","","","","","","","",""
"1811.199999988079","arrows.png","39","image-keyboard-response","13","53214","0.0-13.0","","","","","","","","",""
"37756.5","","","instructions","14","90971","0.0-14.0","","[{""page_index"":0,""viewing_time"":1891.9000000357628},{""page_index"":1,""viewing_time"":1616.800000011921},{""page_index"":2,""viewing_time"":21671.19999998808},{""page_index"":3,""viewing_time"":7704},{""page_index"":4,""viewing_time"":4872.300000011921}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","91972","0.0-15.0","","","","","","","","",""
"6868.900000035763","arrows.png","39","image-keyboard-response","16","99144","0.0-16.0","","","","","","","","",""
"25819","","","instructions","17","124962","0.0-17.0","","[{""page_index"":0,""viewing_time"":4394.600000023842},{""page_index"":1,""viewing_time"":9848.100000023842},{""page_index"":2,""viewing_time"":11575.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","125964","0.0-18.0","","","","","","","","",""
"2321.7000000476837","arrows.png","39","image-keyboard-response","19","128587","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","129588","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","130892","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","132195","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","133497","0.0-23.0","","","","","","","","",""
"553.2000000476837","arrows.png","39","image-keyboard-response","24","134352","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","135357","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","136661","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","137963","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","139266","0.0-28.0","","","","","","","","",""
"1172.9000000357628","arrows.png","38","image-keyboard-response","29","140741","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","141743","0.0-30.0","","","","","","","","",""
"79199.69999998808","","","instructions","31","221244","0.0-31.0","","[{""page_index"":0,""viewing_time"":5790.400000035763},{""page_index"":1,""viewing_time"":1344.2999999523163},{""page_index"":2,""viewing_time"":9791.800000011921},{""page_index"":3,""viewing_time"":21352.30000001192},{""page_index"":4,""viewing_time"":10440.899999976158},{""page_index"":5,""viewing_time"":6022.800000011921},{""page_index"":6,""viewing_time"":23152.5},{""page_index"":7,""viewing_time"":1304.300000011921}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","221546","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","221548","0.0-32.0-1.0","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","221849","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","35","222850","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","223152","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","224154","0.0-32.0-5.0","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","224455","0.0-32.0-6.0","","","fixation_4","","","","","",""
"554.4000000357628","arrows.png","40","image-keyboard-response","39","225010","0.0-32.0-7.0","","","test","leftarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","226263","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","226816","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","226821","0.0-32.0-1.1","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","227134","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","44","228136","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","228437","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","229447","0.0-32.0-5.1","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","229749","0.0-32.0-6.1","","","fixation_4","","","","","",""
"1484.1000000238419","arrows.png","38","image-keyboard-response","48","231234","0.0-32.0-7.1","","","test","downarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","232487","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","233789","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","233795","0.0-32.0-1.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","234096","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","53","235098","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","235407","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","236409","0.0-32.0-5.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","236711","0.0-32.0-6.2","","","fixation_4","","","","","",""
"616.6999999880791","arrows.png","40","image-keyboard-response","57","237328","0.0-32.0-7.2","","","test","uparrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","58","238582","0.0-32.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","59","240133","0.0-32.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","60","240138","0.0-32.0-1.3","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","240440","0.0-32.0-2.3","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","62","241441","0.0-32.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","63","241742","0.0-32.0-4.3","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","64","242744","0.0-32.0-5.3","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","65","243045","0.0-32.0-6.3","","","fixation_4","","","","","",""
"462","arrows.png","37","image-keyboard-response","66","243508","0.0-32.0-7.3","","","test","rightarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","67","244761","0.0-32.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","68","245814","0.0-32.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","69","245819","0.0-32.0-1.4","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","70","246122","0.0-32.0-2.4","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","71","247125","0.0-32.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","72","247427","0.0-32.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","73","247432","0.0-32.0-5.4","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","74","247733","0.0-32.0-6.4","","","fixation_4","","","","","",""
"1766.199999988079","arrows.png","38","image-keyboard-response","75","249499","0.0-32.0-7.4","","","test","uparrow","0","1","FALSE","FALSE","true"
