"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"10540","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","10543","0.0-0.0","","","","","","","","",""
"3103","","","survey-text","1","13649","0.0-1.0","{""aws"":""AQXRHIMQ7UK7O""}","","","","","","","",""
"10808","","","survey-text","2","24460","0.0-2.0","{""age"":""39"",""english"":""y"",""handedness"":""r"",""desktop"":""y""}","","","","","","","",""
"199454","","","instructions","3","223910","0.0-3.0","","[{""page_index"":0,""viewing_time"":9359},{""page_index"":1,""viewing_time"":7383},{""page_index"":2,""viewing_time"":159240},{""page_index"":3,""viewing_time"":19497},{""page_index"":4,""viewing_time"":3975}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","224912","0.0-4.0","","","","","","","","",""
"986","arrows.png","38","image-keyboard-response","5","226200","0.0-5.0","","","","","","","","",""
"23280","","","instructions","6","249483","0.0-6.0","","[{""page_index"":0,""viewing_time"":1979},{""page_index"":1,""viewing_time"":17657},{""page_index"":2,""viewing_time"":3644}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","250487","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","251793","0.0-8.0","","","","","","","","",""
"670","arrows.png","38","image-keyboard-response","9","252768","0.0-9.0","","","","","","","","",""
"5896","","","instructions","10","258664","0.0-10.0","","[{""page_index"":0,""viewing_time"":1170},{""page_index"":1,""viewing_time"":4726}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","259669","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","260977","0.0-12.0","","","","","","","","",""
"622","arrows.png","39","image-keyboard-response","13","261904","0.0-13.0","","","","","","","","",""
"35807","","","instructions","14","297709","0.0-14.0","","[{""page_index"":0,""viewing_time"":1589},{""page_index"":1,""viewing_time"":5656},{""page_index"":2,""viewing_time"":12586},{""page_index"":3,""viewing_time"":10516},{""page_index"":4,""viewing_time"":5460}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","298714","0.0-15.0","","","","","","","","",""
"596","arrows.png","39","image-keyboard-response","16","299615","0.0-16.0","","","","","","","","",""
"19096","","","instructions","17","318711","0.0-17.0","","[{""page_index"":0,""viewing_time"":3299},{""page_index"":1,""viewing_time"":10351},{""page_index"":2,""viewing_time"":5446}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","319716","0.0-18.0","","","","","","","","",""
"775","arrows.png","39","image-keyboard-response","19","320795","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","321799","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","323106","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","324415","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","325724","0.0-23.0","","","","","","","","",""
"483","arrows.png","39","image-keyboard-response","24","326510","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","327511","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","328821","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","330130","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","331436","0.0-28.0","","","","","","","","",""
"694","arrows.png","38","image-keyboard-response","29","332435","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","333439","0.0-30.0","","","","","","","","",""
"66029","","","instructions","31","399772","0.0-31.0","","[{""page_index"":0,""viewing_time"":6986},{""page_index"":1,""viewing_time"":1291},{""page_index"":2,""viewing_time"":10049},{""page_index"":3,""viewing_time"":10186},{""page_index"":4,""viewing_time"":4290},{""page_index"":5,""viewing_time"":5866},{""page_index"":6,""viewing_time"":20041},{""page_index"":7,""viewing_time"":7320}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","400077","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","400079","0.0-32.0-1.0","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","400383","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","35","401389","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","401691","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","402696","0.0-32.0-5.0","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","402997","0.0-32.0-6.0","","","fixation_4","","","","","",""
"283","arrows.png","38","image-keyboard-response","39","403281","0.0-32.0-7.0","","","test","leftarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","404539","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","405099","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","405104","0.0-32.0-1.1","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","405407","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","44","406411","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","406716","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","407720","0.0-32.0-5.1","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","408024","0.0-32.0-6.1","","","fixation_4","","","","","",""
"448","arrows.png","38","image-keyboard-response","48","408472","0.0-32.0-7.1","","","test","downarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","409732","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","410791","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","410795","0.0-32.0-1.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","411100","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","53","412104","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","412408","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","413413","0.0-32.0-5.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","413718","0.0-32.0-6.2","","","fixation_4","","","","","",""
"393","arrows.png","38","image-keyboard-response","57","414112","0.0-32.0-7.2","","","test","uparrow","0","1","TRUE","FALSE","true"
