"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"16133.400000002235","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","71","html-keyboard-response","0","16156","0.0-0.0","","","","","","","","",""
"19104.699999999255","","","survey-text","1","35268","0.0-1.0","{""aws"":""AW0K78T4I2T72""}","","","","","","","",""
"32121.79999999702","","","survey-text","2","67396","0.0-2.0","{""age"":""74"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"153509.09999999776","","","instructions","3","220906","0.0-3.0","","[{""page_index"":0,""viewing_time"":2821.89999999851},{""page_index"":1,""viewing_time"":24527.699999999255},{""page_index"":2,""viewing_time"":40000},{""page_index"":3,""viewing_time"":68511},{""page_index"":4,""viewing_time"":17648}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","221909","0.0-4.0","","","","","","","","",""
"796.7999999970198","arrows.png","38","image-keyboard-response","5","223009","0.0-5.0","","","","","","","","",""
"60120","","","instructions","6","283129","0.0-6.0","","[{""page_index"":0,""viewing_time"":24215.89999999851},{""page_index"":1,""viewing_time"":27975.89999999851},{""page_index"":2,""viewing_time"":7927.900000002235}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","284130","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","285433","0.0-8.0","","","","","","","","",""
"968","arrows.png","38","image-keyboard-response","9","286703","0.0-9.0","","","","","","","","",""
"14746","","","instructions","10","301449","0.0-10.0","","[{""page_index"":0,""viewing_time"":3017.900000002235},{""page_index"":1,""viewing_time"":11727.89999999851}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","302452","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","303754","0.0-12.0","","","","","","","","",""
"607.6000000014901","arrows.png","39","image-keyboard-response","13","304663","0.0-13.0","","","","","","","","",""
"62896.79999999702","","","instructions","14","367560","0.0-14.0","","[{""page_index"":0,""viewing_time"":2553.099999997765},{""page_index"":1,""viewing_time"":12447.900000002235},{""page_index"":2,""viewing_time"":20751.699999999255},{""page_index"":3,""viewing_time"":8192.099999997765},{""page_index"":4,""viewing_time"":18951.800000000745}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","368563","0.0-15.0","","","","","","","","",""
"890.1999999992549","arrows.png","39","image-keyboard-response","16","369755","0.0-16.0","","","","","","","","",""
"28692.900000002235","","","instructions","17","398448","0.0-17.0","","[{""page_index"":0,""viewing_time"":4844.70000000298},{""page_index"":1,""viewing_time"":12567.79999999702},{""page_index"":2,""viewing_time"":11280.10000000149}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","399450","0.0-18.0","","","","","","","","",""
"1044.1000000014901","arrows.png","39","image-keyboard-response","19","400796","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","401798","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","403101","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","404402","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","405705","0.0-23.0","","","","","","","","",""
"6389","arrows.png","39","image-keyboard-response","24","412395","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","413397","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","414701","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","416008","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","417310","0.0-28.0","","","","","","","","",""
"722.8000000007451","arrows.png","38","image-keyboard-response","29","418335","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","419336","0.0-30.0","","","","","","","","",""
"117617.80000000075","","","instructions","31","537255","0.0-31.0","","[{""page_index"":0,""viewing_time"":8946.300000000745},{""page_index"":1,""viewing_time"":2312.199999999255},{""page_index"":2,""viewing_time"":11487.699999999255},{""page_index"":3,""viewing_time"":25071.89999999851},{""page_index"":4,""viewing_time"":12783.900000002235},{""page_index"":5,""viewing_time"":8631.89999999851},{""page_index"":6,""viewing_time"":27207.800000000745},{""page_index"":7,""viewing_time"":21175.89999999851}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","537556","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","537560","0.0-32.0-1.0","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","537863","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","35","538865","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","539166","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","540168","0.0-32.0-5.0","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","540470","0.0-32.0-6.0","","","fixation_4","","","","","",""
"615.2000000029802","arrows.png","38","image-keyboard-response","39","541086","0.0-32.0-7.0","","","test","leftarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","542339","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","542892","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","542898","0.0-32.0-1.1","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","543199","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","44","544200","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","544501","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","545502","0.0-32.0-5.1","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","545805","0.0-32.0-6.1","","","fixation_4","","","","","",""
"941","arrows.png","38","image-keyboard-response","48","546747","0.0-32.0-7.1","","","test","downarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","547999","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","549551","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","549557","0.0-32.0-1.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","549858","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","53","550860","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","551161","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","552163","0.0-32.0-5.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","552465","0.0-32.0-6.2","","","fixation_4","","","","","",""
"568.1999999992549","arrows.png","38","image-keyboard-response","57","553034","0.0-32.0-7.2","","","test","uparrow","0","1","TRUE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","58","554285","0.0-32.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","59","554837","0.0-32.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","60","554842","0.0-32.0-1.3","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","555145","0.0-32.0-2.3","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","62","556146","0.0-32.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","63","556448","0.0-32.0-4.3","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","64","557450","0.0-32.0-5.3","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","65","557752","0.0-32.0-6.3","","","fixation_4","","","","","",""
"805.3000000007451","arrows.png","39","image-keyboard-response","66","558558","0.0-32.0-7.3","","","test","rightarrow","0","1","TRUE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","67","559810","0.0-32.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","68","560612","0.0-32.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","69","560617","0.0-32.0-1.4","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","70","560921","0.0-32.0-2.4","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","71","561923","0.0-32.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","72","562224","0.0-32.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","73","562230","0.0-32.0-5.4","","","test","uparrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","74","562531","0.0-32.0-6.4","","","fixation_4","","","","","",""
"1647.3999999985099","arrows.png","40","image-keyboard-response","75","564180","0.0-32.0-7.4","","","test","uparrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","76","565433","0.0-32.0-8.4","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","77","566734","0.0-32.0-0.5","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","78","566740","0.0-32.0-1.5","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","79","567042","0.0-32.0-2.5","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","80","568044","0.0-32.0-3.5","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","81","568346","0.0-32.0-4.5","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","82","568351","0.0-32.0-5.5","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","83","568652","0.0-32.0-6.5","","","fixation_4","","","","","",""
"1067.8999999985099","arrows.png","37","image-keyboard-response","84","569721","0.0-32.0-7.5","","","test","leftarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","85","570973","0.0-32.0-8.5","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","86","572025","0.0-32.0-0.6","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","87","572032","0.0-32.0-1.6","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","88","572334","0.0-32.0-2.6","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","89","573335","0.0-32.0-3.6","","","img_on","","","","","",""
