"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"9705.900000035763","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","74","html-keyboard-response","0","9718","0.0-0.0","","","","","","","","",""
"6490.599999964237","","","survey-text","1","16220","0.0-1.0","{""aws"":""AW0MG225VXWCN""}","","","","","","","",""
"11206.199999988079","","","survey-text","2","27430","0.0-2.0","{""age"":""35"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"24942.799999952316","","","instructions","3","52373","0.0-3.0","","[{""page_index"":0,""viewing_time"":1172.8999999761581},{""page_index"":1,""viewing_time"":6160.699999988079},{""page_index"":2,""viewing_time"":4375},{""page_index"":3,""viewing_time"":11300.199999988079},{""page_index"":4,""viewing_time"":1933.800000011921}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","53376","0.0-4.0","","","","","","","","",""
"450.7999999523163","arrows.png","38","image-keyboard-response","5","54129","0.0-5.0","","","","","","","","",""
"209113","","","instructions","6","263243","0.0-6.0","","[{""page_index"":0,""viewing_time"":200452.09999996424},{""page_index"":1,""viewing_time"":6457.900000035763},{""page_index"":2,""viewing_time"":2202.7999999523163}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","264246","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","265560","0.0-8.0","","","","","","","","",""
"715.8000000119209","arrows.png","38","image-keyboard-response","9","266578","0.0-9.0","","","","","","","","",""
"5066.599999964237","","","instructions","10","271645","0.0-10.0","","[{""page_index"":0,""viewing_time"":2181.5},{""page_index"":1,""viewing_time"":2884.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","272646","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","273948","0.0-12.0","","","","","","","","",""
"318.69999998807907","arrows.png","39","image-keyboard-response","13","274570","0.0-13.0","","","","","","","","",""
"19710.69999998808","","","instructions","14","294281","0.0-14.0","","[{""page_index"":0,""viewing_time"":1948.6000000238419},{""page_index"":1,""viewing_time"":3796.7999999523163},{""page_index"":2,""viewing_time"":7544.400000035763},{""page_index"":3,""viewing_time"":3003.800000011921},{""page_index"":4,""viewing_time"":3416.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","295282","0.0-15.0","","","","","","","","",""
"648.8999999761581","arrows.png","39","image-keyboard-response","16","296233","0.0-16.0","","","","","","","","",""
"11610.100000023842","","","instructions","17","307843","0.0-17.0","","[{""page_index"":0,""viewing_time"":2146.900000035763},{""page_index"":1,""viewing_time"":5519.699999988079},{""page_index"":2,""viewing_time"":3943.199999988079}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","308845","0.0-18.0","","","","","","","","",""
"567.0999999642372","arrows.png","39","image-keyboard-response","19","309713","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","310715","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","312018","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","313322","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","314624","0.0-23.0","","","","","","","","",""
