"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"2122","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","2127","0.0-0.0","","","","","","","","",""
"6054","","","survey-text","1","8185","0.0-1.0","{""aws"":""A1F1BIPJR11LSR""}","","","","","","","",""
"13492","","","survey-text","2","21682","0.0-2.0","{""age"":""36"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"10536","","","instructions","3","32218","0.0-3.0","","[{""page_index"":0,""viewing_time"":1096},{""page_index"":1,""viewing_time"":1668},{""page_index"":2,""viewing_time"":896},{""page_index"":3,""viewing_time"":5285},{""page_index"":4,""viewing_time"":1591}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","33233","0.0-4.0","","","","","","","","",""
"473","arrows.png","38","image-keyboard-response","5","34021","0.0-5.0","","","","","","","","",""
"27162","","","instructions","6","61184","0.0-6.0","","[{""page_index"":0,""viewing_time"":1367},{""page_index"":1,""viewing_time"":992},{""page_index"":2,""viewing_time"":3786},{""page_index"":3,""viewing_time"":11228},{""page_index"":4,""viewing_time"":4608},{""page_index"":5,""viewing_time"":4460},{""page_index"":6,""viewing_time"":721}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","61490","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","61491","0.0-7.0-1.0","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","61798","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","10","62804","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","63119","0.0-7.0-4.0","","","fixation_3","","","","","",""
