"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"20420.584999999846","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","20452","0.0-0.0","","","","","","","","",""
"14172.359999996843","","","survey-text","1","34639","0.0-1.0","{""aws"":""A20NITCOBY4775""}","","","","","","","",""
"20734.970000004978","","","survey-text","2","55422","0.0-2.0","{""age"":""64"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"32842.955000000075","","","instructions","3","88268","0.0-3.0","","[{""page_index"":0,""viewing_time"":1976.2150000024121},{""page_index"":1,""viewing_time"":6751.989999997022},{""page_index"":2,""viewing_time"":3938.3450000023004},{""page_index"":3,""viewing_time"":11727.460000001884},{""page_index"":4,""viewing_time"":8447.744999997667}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","89274","0.0-4.0","","","","","","","","",""
"37.754999997559935","arrows.png","38","image-keyboard-response","5","89627","0.0-5.0","","","","","","","","",""
"47987.60999999649","","","instructions","6","137616","0.0-6.0","","[{""page_index"":0,""viewing_time"":2502.5600000008126},{""page_index"":1,""viewing_time"":2628.404999995837},{""page_index"":2,""viewing_time"":7114.430000001448},{""page_index"":3,""viewing_time"":8213.450000002922},{""page_index"":4,""viewing_time"":22455.52499999758},{""page_index"":5,""viewing_time"":2704.4800000003306},{""page_index"":6,""viewing_time"":2368.139999998675}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","137919","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","137930","0.0-7.0-1.0","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","138234","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","10","139236","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","139539","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","139547","0.0-7.0-5.0","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","139849","0.0-7.0-6.0","","","fixation_4","","","","","",""
"1391.2300000010873","arrows.png","37","image-keyboard-response","14","141242","0.0-7.0-7.0","","","test","leftarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","15","142496","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","143298","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","143305","0.0-7.0-1.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","143606","0.0-7.0-2.1","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","19","144608","0.0-7.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","20","144910","0.0-7.0-4.1","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","21","144916","0.0-7.0-5.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","22","145217","0.0-7.0-6.1","","","fixation_4","","","","","",""
"705.4099999950267","arrows.png","38","image-keyboard-response","23","145924","0.0-7.0-7.1","","","test","uparrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","24","147179","0.0-7.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","25","148732","0.0-7.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","26","148740","0.0-7.0-1.2","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","27","149042","0.0-7.0-2.2","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","28","150043","0.0-7.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","29","150345","0.0-7.0-4.2","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","30","150350","0.0-7.0-5.2","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","31","150651","0.0-7.0-6.2","","","fixation_4","","","","","",""
"651.239999999234","arrows.png","39","image-keyboard-response","32","151304","0.0-7.0-7.2","","","test","rightarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","33","152557","0.0-7.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","153359","0.0-7.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","35","153364","0.0-7.0-1.3","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","153666","0.0-7.0-2.3","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","37","154668","0.0-7.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","154970","0.0-7.0-4.3","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","39","154977","0.0-7.0-5.3","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","40","155278","0.0-7.0-6.3","","","fixation_4","","","","","",""
"733.0050000018673","arrows.png","40","image-keyboard-response","41","156012","0.0-7.0-7.3","","","test","downarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","42","157264","0.0-7.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","158067","0.0-7.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","44","158073","0.0-7.0-1.4","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","158374","0.0-7.0-2.4","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","46","159376","0.0-7.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","159677","0.0-7.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","48","159683","0.0-7.0-5.4","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","49","159985","0.0-7.0-6.4","","","fixation_4","","","","","",""
"763.9149999959045","arrows.png","38","image-keyboard-response","50","160750","0.0-7.0-7.4","","","test","uparrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","51","162001","0.0-7.0-8.4","","","","","","","","",""
