"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"3549.4000000953674","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","39","html-keyboard-response","0","3575","0.0-0.0","","","","","","","","",""
"28313.800000190735","","","survey-text","1","31894","0.0-1.0","{""aws"":""A314XJY8V1YL12""}","","","","","","","",""
"11697","","","survey-text","2","43607","0.0-2.0","{""age"":""49"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"37802.40000009537","","","instructions","3","81413","0.0-3.0","","[{""page_index"":0,""viewing_time"":1832.4000000953674},{""page_index"":1,""viewing_time"":9040},{""page_index"":2,""viewing_time"":4791.399999856949},{""page_index"":3,""viewing_time"":18892.5},{""page_index"":4,""viewing_time"":3243}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","82417","0.0-4.0","","","","","","","","",""
"985.2000000476837","arrows.png","38","image-keyboard-response","5","83705","0.0-5.0","","","","","","","","",""
"23464.599999904633","","","instructions","6","107172","0.0-6.0","","[{""page_index"":0,""viewing_time"":1466},{""page_index"":1,""viewing_time"":1940.0999999046326},{""page_index"":2,""viewing_time"":5135.400000095367},{""page_index"":3,""viewing_time"":6402.299999952316},{""page_index"":4,""viewing_time"":4037},{""page_index"":5,""viewing_time"":2982.4000000953674},{""page_index"":6,""viewing_time"":1501}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","107474","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","107483","0.0-7.0-1.0","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","107786","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","10","108789","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","109092","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","109100","0.0-7.0-5.0","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","109402","0.0-7.0-6.0","","","fixation_4","","","","","",""
"70.90000009536743","arrows.png","38","image-keyboard-response","14","109476","0.0-7.0-7.0","","","test","leftarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","15","110731","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","111785","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","111793","0.0-7.0-1.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","112096","0.0-7.0-2.1","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","19","113097","0.0-7.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","20","113400","0.0-7.0-4.1","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","21","113406","0.0-7.0-5.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","22","113707","0.0-7.0-6.1","","","fixation_4","","","","","",""
"24.5","arrows.png","38","image-keyboard-response","23","113735","0.0-7.0-7.1","","","test","uparrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","24","114989","0.0-7.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","25","116542","0.0-7.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","26","116552","0.0-7.0-1.2","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","27","116854","0.0-7.0-2.2","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","28","117855","0.0-7.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","29","118159","0.0-7.0-4.2","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","30","118165","0.0-7.0-5.2","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","31","118466","0.0-7.0-6.2","","","fixation_4","","","","","",""
"708","arrows.png","38","image-keyboard-response","32","119176","0.0-7.0-7.2","","","test","rightarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","33","120429","0.0-7.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","121481","0.0-7.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","35","121487","0.0-7.0-1.3","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","121788","0.0-7.0-2.3","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","37","122793","0.0-7.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","123100","0.0-7.0-4.3","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","39","123106","0.0-7.0-5.3","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","40","123407","0.0-7.0-6.3","","","fixation_4","","","","","",""
"246.59999990463257","arrows.png","38","image-keyboard-response","41","123655","0.0-7.0-7.3","","","test","downarrow","0","1","FALSE","FALSE","false"
