"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"3433.600000023842","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","3447","0.0-0.0","","","","","","","","",""
"6273.5","","","survey-text","1","9725","0.0-1.0","{""aws"":""A351P2O6QGTCS""}","","","","","","","",""
"9947.300000071526","","","survey-text","2","19677","0.0-2.0","{""age"":""56"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"11954","","","instructions","3","31632","0.0-3.0","","[{""page_index"":0,""viewing_time"":1463.8000000715256},{""page_index"":1,""viewing_time"":2041.5999999046326},{""page_index"":2,""viewing_time"":1829.9000000953674},{""page_index"":3,""viewing_time"":3361},{""page_index"":4,""viewing_time"":3257.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","32634","0.0-4.0","","","","","","","","",""
"11018.100000023842","arrows.png","38","image-keyboard-response","5","43954","0.0-5.0","","","","","","","","",""
"11836.699999928474","","","instructions","6","55792","0.0-6.0","","[{""page_index"":0,""viewing_time"":2702.5},{""page_index"":1,""viewing_time"":1122.5},{""page_index"":2,""viewing_time"":2017.3999999761581},{""page_index"":3,""viewing_time"":1886.5},{""page_index"":4,""viewing_time"":1175.6000000238419},{""page_index"":5,""viewing_time"":1815.7999999523163},{""page_index"":6,""viewing_time"":1116.2000000476837}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","56093","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","56097","0.0-7.0-1.0","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","56398","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","10","57399","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","57701","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","57706","0.0-7.0-5.0","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","58007","0.0-7.0-6.0","","","fixation_4","","","","","",""
"700","arrows.png","37","image-keyboard-response","14","58708","0.0-7.0-7.0","","","test","leftarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","15","59960","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","61012","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","61018","0.0-7.0-1.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","61319","0.0-7.0-2.1","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","19","62321","0.0-7.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","20","62623","0.0-7.0-4.1","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","21","62628","0.0-7.0-5.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","22","62929","0.0-7.0-6.1","","","fixation_4","","","","","",""
"302.2999999523163","arrows.png","38","image-keyboard-response","23","63232","0.0-7.0-7.1","","","test","uparrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","24","64484","0.0-7.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","25","65037","0.0-7.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","26","65042","0.0-7.0-1.2","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","27","65344","0.0-7.0-2.2","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","28","66347","0.0-7.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","29","66648","0.0-7.0-4.2","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","30","66653","0.0-7.0-5.2","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","31","66954","0.0-7.0-6.2","","","fixation_4","","","","","",""
"311.5","arrows.png","39","image-keyboard-response","32","67266","0.0-7.0-7.2","","","test","rightarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","33","68519","0.0-7.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","69321","0.0-7.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","35","69326","0.0-7.0-1.3","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","69628","0.0-7.0-2.3","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","37","70629","0.0-7.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","70931","0.0-7.0-4.3","","","fixation_3","","","","","",""
