"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"16460.900000095367","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","16476","0.0-0.0","","","","","","","","",""
"2433","","","survey-text","1","18912","0.0-1.0","{""aws"":""A3G55RJTW3BSGM""}","","","","","","","",""
"8924.599999904633","","","survey-text","2","27841","0.0-2.0","{""age"":""44"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"25607.89999985695","","","instructions","3","53450","0.0-3.0","","[{""page_index"":0,""viewing_time"":1380.0999999046326},{""page_index"":1,""viewing_time"":9828.100000143051},{""page_index"":2,""viewing_time"":3817.0999999046326},{""page_index"":3,""viewing_time"":8212.799999952316},{""page_index"":4,""viewing_time"":2369.7000000476837}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","54451","0.0-4.0","","","","","","","","",""
"419.60000014305115","arrows.png","38","image-keyboard-response","5","55172","0.0-5.0","","","","","","","","",""
"99075.90000009537","","","instructions","6","154248","0.0-6.0","","[{""page_index"":0,""viewing_time"":1825.7000000476837},{""page_index"":1,""viewing_time"":1337.7000000476837},{""page_index"":2,""viewing_time"":66187.69999980927},{""page_index"":3,""viewing_time"":13060.400000095367},{""page_index"":4,""viewing_time"":5842.5},{""page_index"":5,""viewing_time"":2216.5},{""page_index"":4,""viewing_time"":2733.2999999523163},{""page_index"":5,""viewing_time"":4438.100000143051},{""page_index"":6,""viewing_time"":1433.7999999523163}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","154550","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","154553","0.0-7.0-1.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","154854","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","10","155855","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","156157","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","156162","0.0-7.0-5.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","156463","0.0-7.0-6.0","","","fixation_4","","","","","",""
"444","arrows.png","40","image-keyboard-response","14","156908","0.0-7.0-7.0","","","test","downarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","15","158160","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","159213","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","159218","0.0-7.0-1.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","159520","0.0-7.0-2.1","","","fixation_2","","","","","",""
