"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"5113.899999856949","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","70","html-keyboard-response","0","5128","0.0-0.0","","","","","","","","",""
"4788.5","","","survey-text","1","9920","0.0-1.0","{""aws"":""AD1WGUMVD6KED""}","","","","","","","",""
"9637.200000047684","","","survey-text","2","19561","0.0-2.0","{""age"":""39"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"26570.5","","","instructions","3","46132","0.0-3.0","","[{""page_index"":0,""viewing_time"":954.6999998092651},{""page_index"":1,""viewing_time"":8522.200000047684},{""page_index"":2,""viewing_time"":3061.5},{""page_index"":3,""viewing_time"":9106.5},{""page_index"":4,""viewing_time"":4925.299999952316}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","47134","0.0-4.0","","","","","","","","",""
"17417.700000047684","arrows.png","38","image-keyboard-response","5","64854","0.0-5.0","","","","","","","","",""
"37459.40000009537","","","instructions","6","102314","0.0-6.0","","[{""page_index"":0,""viewing_time"":3044.7000000476837},{""page_index"":1,""viewing_time"":2266},{""page_index"":2,""viewing_time"":10650.299999952316},{""page_index"":3,""viewing_time"":3129.2999999523163},{""page_index"":4,""viewing_time"":9440.900000095367},{""page_index"":5,""viewing_time"":7629.299999952316},{""page_index"":6,""viewing_time"":1298.5999999046326}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","102615","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","102618","0.0-7.0-1.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","102919","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","10","103921","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","104222","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","104227","0.0-7.0-5.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","104528","0.0-7.0-6.0","","","fixation_4","","","","","",""
"723.7000000476837","arrows.png","39","image-keyboard-response","14","105252","0.0-7.0-7.0","","","test","downarrow","0","1","FALSE","FALSE","false"
