"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"1706069.700000003","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","1706084","0.0-0.0","","","","","","","","",""
"5168.5","","","survey-text","1","1711261","0.0-1.0","{""aws"":""AJDXSXAWDDAEO""}","","","","","","","",""
"9367.90000000596","","","survey-text","2","1720638","0.0-2.0","{""age"":""34"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"73610.5","","","instructions","3","1794251","0.0-3.0","","[{""page_index"":0,""viewing_time"":2779.39999999851},{""page_index"":1,""viewing_time"":27559.80000000447},{""page_index"":2,""viewing_time"":9772.09999999404},{""page_index"":3,""viewing_time"":12312.30000000447},{""page_index"":4,""viewing_time"":21185.79999999702}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","1795255","0.0-4.0","","","","","","","","",""
"183","arrows.png","38","image-keyboard-response","5","1795741","0.0-5.0","","","","","","","","",""
"54821","","","instructions","6","1850562","0.0-6.0","","[{""page_index"":0,""viewing_time"":4664.39999999851},{""page_index"":1,""viewing_time"":2667.89999999851},{""page_index"":2,""viewing_time"":11870.39999999851},{""page_index"":3,""viewing_time"":9106.70000000298},{""page_index"":4,""viewing_time"":21212.5},{""page_index"":5,""viewing_time"":4423.70000000298},{""page_index"":6,""viewing_time"":874.6999999955297}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","1850865","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","1850871","0.0-7.0-1.0","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","1851172","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","10","1852173","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","1852474","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","1852480","0.0-7.0-5.0","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","1852781","0.0-7.0-6.0","","","fixation_4","","","","","",""
"473.8999999985099","arrows.png","37","image-keyboard-response","14","1853256","0.0-7.0-7.0","","","test","uparrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","15","1854509","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","1855561","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","1855567","0.0-7.0-1.1","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","1855868","0.0-7.0-2.1","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","19","1856869","0.0-7.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","20","1857171","0.0-7.0-4.1","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","21","1857175","0.0-7.0-5.1","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","22","1857476","0.0-7.0-6.1","","","fixation_4","","","","","",""
"335.1000000014901","arrows.png","39","image-keyboard-response","23","1857814","0.0-7.0-7.1","","","test","rightarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","24","1859065","0.0-7.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","25","1859867","0.0-7.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","26","1859872","0.0-7.0-1.2","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","27","1860173","0.0-7.0-2.2","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","28","1861174","0.0-7.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","29","1861475","0.0-7.0-4.2","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","30","1861481","0.0-7.0-5.2","","","test","leftarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","31","1861782","0.0-7.0-6.2","","","fixation_4","","","","","",""
"227.39999999850988","arrows.png","40","image-keyboard-response","32","1862011","0.0-7.0-7.2","","","test","leftarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","33","1863262","0.0-7.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","1864563","0.0-7.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","35","1864569","0.0-7.0-1.3","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","1864870","0.0-7.0-2.3","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","37","1865872","0.0-7.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","1866174","0.0-7.0-4.3","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","39","1866178","0.0-7.0-5.3","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","40","1866479","0.0-7.0-6.3","","","fixation_4","","","","","",""
"352.20000000298023","arrows.png","37","image-keyboard-response","41","1866833","0.0-7.0-7.3","","","test","downarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","42","1868085","0.0-7.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","1869636","0.0-7.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","44","1869641","0.0-7.0-1.4","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","1869942","0.0-7.0-2.4","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","46","1870944","0.0-7.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","1871245","0.0-7.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","48","1871250","0.0-7.0-5.4","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","49","1871551","0.0-7.0-6.4","","","fixation_4","","","","","",""
"229.5","arrows.png","39","image-keyboard-response","50","1871782","0.0-7.0-7.4","","","test","rightarrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","51","1873033","0.0-7.0-8.4","","","","","","","","",""
