"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"3998.7000000476837","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","4006","0.0-0.0","","","","","","","","",""
"4416.599999904633","","","survey-text","1","8426","0.0-1.0","{""aws"":""ATKG4FI2S5MVL""}","","","","","","","",""
"8797.5","","","survey-text","2","17229","0.0-2.0","{""age"":""38"",""english"":""y"",""handedness"":""r"",""desktop"":""y""}","","","","","","","",""
"13478.399999856949","","","instructions","3","30707","0.0-3.0","","[{""page_index"":0,""viewing_time"":1211.7000000476837},{""page_index"":1,""viewing_time"":2280.2999999523163},{""page_index"":2,""viewing_time"":547.2000000476837},{""page_index"":3,""viewing_time"":7532.099999904633},{""page_index"":4,""viewing_time"":1906.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","31711","0.0-4.0","","","","","","","","",""
"336","arrows.png","38","image-keyboard-response","5","32348","0.0-5.0","","","","","","","","",""
"13858.399999856949","","","instructions","6","46207","0.0-6.0","","[{""page_index"":0,""viewing_time"":1833.8999998569489},{""page_index"":1,""viewing_time"":1532.2000000476837},{""page_index"":2,""viewing_time"":1835.9000000953674},{""page_index"":3,""viewing_time"":1757.3999998569489},{""page_index"":4,""viewing_time"":2148.4000000953674},{""page_index"":5,""viewing_time"":3890.4000000953674},{""page_index"":6,""viewing_time"":859.6999998092651}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","46513","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","46516","0.0-7.0-1.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","46820","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","10","47824","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","48127","0.0-7.0-4.0","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","12","48132","0.0-7.0-5.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","13","48434","0.0-7.0-6.0","","","fixation_4","","","","","",""
"432.80000019073486","arrows.png","40","image-keyboard-response","14","48868","0.0-7.0-7.0","","","test","downarrow","0","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $2.50</p>","null","html-keyboard-response","15","50124","0.0-7.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","16","50934","0.0-7.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","17","50940","0.0-7.0-1.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","18","51244","0.0-7.0-2.1","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","19","52248","0.0-7.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","20","52549","0.0-7.0-4.1","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","21","52554","0.0-7.0-5.1","","","test","uparrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","22","52857","0.0-7.0-6.1","","","fixation_4","","","","","",""
"625.7999999523163","arrows.png","38","image-keyboard-response","23","53484","0.0-7.0-7.1","","","test","uparrow","1","1","FALSE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","24","54744","0.0-7.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","25","55551","0.0-7.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","26","55557","0.0-7.0-1.2","","","test","rightarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","27","55858","0.0-7.0-2.2","","","fixation_2","","","","","",""
