"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"1692.1000000238419","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","13","html-keyboard-response","0","1703","0.0-0.0","","","","","","","","",""
"7522.799999952316","","","survey-text","1","9229","0.0-1.0","{""aws"":""AXMPSUNKUBEIL""}","","","","","","","",""
"10136.600000023842","","","survey-text","2","19370","0.0-2.0","{""age"":""40"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"21495.700000047684","","","instructions","3","40866","0.0-3.0","","[{""page_index"":0,""viewing_time"":1625.3000000715256},{""page_index"":1,""viewing_time"":5075.799999952316},{""page_index"":2,""viewing_time"":3002.100000023842},{""page_index"":3,""viewing_time"":9658.100000023842},{""page_index"":4,""viewing_time"":2134.100000023842}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","41868","0.0-4.0","","","","","","","","",""
"747.0999999046326","arrows.png","38","image-keyboard-response","5","42917","0.0-5.0","","","","","","","","",""
"21654.899999976158","","","instructions","6","64572","0.0-6.0","","[{""page_index"":0,""viewing_time"":972.7999999523163},{""page_index"":1,""viewing_time"":1189.8999999761581},{""page_index"":2,""viewing_time"":5756.100000023842},{""page_index"":3,""viewing_time"":6190.100000023842},{""page_index"":4,""viewing_time"":3534.2999999523163},{""page_index"":5,""viewing_time"":2819.5},{""page_index"":6,""viewing_time"":1192}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","7","64873","0.0-7.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","8","64876","0.0-7.0-1.0","","","test","downarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","9","65178","0.0-7.0-2.0","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","10","66179","0.0-7.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","11","66480","0.0-7.0-4.0","","","fixation_3","","","","","",""
