"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"44662.200000000186","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","44682","0.0-0.0","","","","","","","","",""
"4579.199999999721","","","survey-text","1","49267","0.0-1.0","{""aws"":""A10BH9PYCYUKDJ""}","","","","","","","",""
"21444.399999999907","","","survey-text","2","70728","0.0-2.0","{""age"":""41"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"76046.70000000019","","","instructions","3","146776","0.0-3.0","","[{""page_index"":0,""viewing_time"":8335.399999999907},{""page_index"":1,""viewing_time"":37973.90000000037},{""page_index"":2,""viewing_time"":4473.699999999721},{""page_index"":3,""viewing_time"":20767},{""page_index"":4,""viewing_time"":4495.200000000186}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","147779","0.0-4.0","","","","","","","","",""
"1413.3000000002794","arrows.png","38","image-keyboard-response","5","149495","0.0-5.0","","","","","","","","",""
"26047.80000000028","","","instructions","6","175543","0.0-6.0","","[{""page_index"":0,""viewing_time"":3176.7000000001863},{""page_index"":1,""viewing_time"":19437.899999999907},{""page_index"":2,""viewing_time"":3432.2999999998137}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","176546","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","177849","0.0-8.0","","","","","","","","",""
"308","arrows.png","38","image-keyboard-response","9","178459","0.0-9.0","","","","","","","","",""
"8647.599999999627","","","instructions","10","187108","0.0-10.0","","[{""page_index"":0,""viewing_time"":2508.2999999998137},{""page_index"":1,""viewing_time"":6138}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","188110","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","189413","0.0-12.0","","","","","","","","",""
"244.5","arrows.png","39","image-keyboard-response","13","189960","0.0-13.0","","","","","","","","",""
"37784.700000000186","","","instructions","14","227745","0.0-14.0","","[{""page_index"":0,""viewing_time"":2396.2000000001863},{""page_index"":1,""viewing_time"":9719.200000000186},{""page_index"":2,""viewing_time"":11284.599999999627},{""page_index"":3,""viewing_time"":8552.400000000373},{""page_index"":4,""viewing_time"":5831.799999999814}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","228747","0.0-15.0","","","","","","","","",""
"5431.100000000093","arrows.png","39","image-keyboard-response","16","234480","0.0-16.0","","","","","","","","",""
"21580.100000000093","","","instructions","17","256061","0.0-17.0","","[{""page_index"":0,""viewing_time"":7511.800000000279},{""page_index"":1,""viewing_time"":9244},{""page_index"":2,""viewing_time"":4823.600000000093}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","257063","0.0-18.0","","","","","","","","",""
"531.1000000000931","arrows.png","39","image-keyboard-response","19","257896","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","258898","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","260200","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","261502","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","262804","0.0-23.0","","","","","","","","",""
"270.8000000002794","arrows.png","39","image-keyboard-response","24","263377","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","264378","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","265680","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","266982","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","268284","0.0-28.0","","","","","","","","",""
"201.5","arrows.png","38","image-keyboard-response","29","268788","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","269789","0.0-30.0","","","","","","","","",""
"196841.10000000056","","","instructions","31","466931","0.0-31.0","","[{""page_index"":0,""viewing_time"":4503.800000000745},{""page_index"":1,""viewing_time"":1989},{""page_index"":2,""viewing_time"":9773.299999999814},{""page_index"":3,""viewing_time"":13900.099999999627},{""page_index"":4,""viewing_time"":67714.90000000037},{""page_index"":5,""viewing_time"":4501.5},{""page_index"":6,""viewing_time"":92187.29999999981},{""page_index"":7,""viewing_time"":2269.9000000003725}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","467234","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","467238","0.0-32.0-1.0","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","467540","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","35","468542","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","468844","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","469846","0.0-32.0-5.0","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","470148","0.0-32.0-6.0","","","fixation_4","","","","","",""
"658","arrows.png","40","image-keyboard-response","39","470807","0.0-32.0-7.0","","","test","rightarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","472060","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","473612","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","473618","0.0-32.0-1.1","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","473920","0.0-32.0-2.1","","","fixation_2","","","","","",""
