"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"6658.60000000149","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","6666","0.0-0.0","","","","","","","","",""
"4021.7999999970198","","","survey-text","1","10690","0.0-1.0","{""aws"":""A1PAY3X73PQ16S""}","","","","","","","",""
"8725.5","","","survey-text","2","19417","0.0-2.0","{""age"":""54"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"42895.39999999851","","","instructions","3","62311","0.0-3.0","","[{""page_index"":0,""viewing_time"":2879.89999999851},{""page_index"":1,""viewing_time"":17583.30000000447},{""page_index"":2,""viewing_time"":6255.89999999851},{""page_index"":3,""viewing_time"":13048.60000000149},{""page_index"":4,""viewing_time"":3127.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","63316","0.0-4.0","","","","","","","","",""
"272.80000000447035","arrows.png","38","image-keyboard-response","5","63894","0.0-5.0","","","","","","","","",""
"16144.69999999553","","","instructions","6","80059","0.0-6.0","","[{""page_index"":0,""viewing_time"":2672.5999999940395},{""page_index"":1,""viewing_time"":9016},{""page_index"":2,""viewing_time"":4455.9000000059605}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","81063","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","82369","0.0-8.0","","","","","","","","",""
"6571","arrows.png","38","image-keyboard-response","9","89248","0.0-9.0","","","","","","","","",""
"5636","","","instructions","10","94887","0.0-10.0","","[{""page_index"":0,""viewing_time"":2323.3000000044703},{""page_index"":1,""viewing_time"":3312.39999999851}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","95891","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","97199","0.0-12.0","","","","","","","","",""
"997.2999999970198","arrows.png","39","image-keyboard-response","13","98501","0.0-13.0","","","","","","","","",""
"27563.40000000596","","","instructions","14","126068","0.0-14.0","","[{""page_index"":0,""viewing_time"":1995.5},{""page_index"":1,""viewing_time"":6079.80000000447},{""page_index"":2,""viewing_time"":9536.19999999553},{""page_index"":3,""viewing_time"":4800.10000000149},{""page_index"":4,""viewing_time"":5151.60000000149}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","127071","0.0-15.0","","","","","","","","",""
"934.7999999970198","arrows.png","39","image-keyboard-response","16","128308","0.0-16.0","","","","","","","","",""
"14192.70000000298","","","instructions","17","142501","0.0-17.0","","[{""page_index"":0,""viewing_time"":2368.39999999851},{""page_index"":1,""viewing_time"":6592},{""page_index"":2,""viewing_time"":5231.89999999851}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","143505","0.0-18.0","","","","","","","","",""
"668","arrows.png","39","image-keyboard-response","19","144475","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","145478","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","146784","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","148090","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","149397","0.0-23.0","","","","","","","","",""
"578.2999999970198","arrows.png","39","image-keyboard-response","24","150280","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","151283","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","152590","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","153895","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","155201","0.0-28.0","","","","","","","","",""
