"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"1270","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","16","html-keyboard-response","0","1282","0.0-0.0","","","","","","","","",""
"9617.699999999255","","","survey-text","1","10904","0.0-1.0","{""aws"":""A1XUZFDVKP95VC""}","","","","","","","",""
"7294.5","","","survey-text","2","18205","0.0-2.0","{""age"":""42"",""english"":""y"",""handedness"":""r"",""desktop"":""y""}","","","","","","","",""
"83384.59999999963","","","instructions","3","101589","0.0-3.0","","[{""page_index"":0,""viewing_time"":52902.09999999963},{""page_index"":1,""viewing_time"":7040.5999999996275},{""page_index"":2,""viewing_time"":3286.5999999996275},{""page_index"":3,""viewing_time"":17198.400000000373},{""page_index"":4,""viewing_time"":2956.5}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","102590","0.0-4.0","","","","","","","","",""
"693.0999999996275","arrows.png","38","image-keyboard-response","5","103585","0.0-5.0","","","","","","","","",""
"12199.599999999627","","","instructions","6","115785","0.0-6.0","","[{""page_index"":0,""viewing_time"":2139.9000000003725},{""page_index"":1,""viewing_time"":8193},{""page_index"":2,""viewing_time"":1866.300000000745}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","116786","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","118088","0.0-8.0","","","","","","","","",""
"342.2999999988824","arrows.png","38","image-keyboard-response","9","118732","0.0-9.0","","","","","","","","",""
"7830.0999999996275","","","instructions","10","126562","0.0-10.0","","[{""page_index"":0,""viewing_time"":2467.0999999996275},{""page_index"":1,""viewing_time"":5362.800000000745}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","127563","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","128867","0.0-12.0","","","","","","","","",""
