"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"4510.800000011921","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","4524","0.0-0.0","","","","","","","","",""
"7110.300000011921","","","survey-text","1","11638","0.0-1.0","{""aws"":""A341XKSRZ58FJK""}","","","","","","","",""
"10929","","","survey-text","2","22571","0.0-2.0","{""age"":""47"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"31941.30000001192","","","instructions","3","54513","0.0-3.0","","[{""page_index"":0,""viewing_time"":2279.300000011921},{""page_index"":1,""viewing_time"":11161.800000011921},{""page_index"":2,""viewing_time"":8478},{""page_index"":3,""viewing_time"":7679.800000011921},{""page_index"":4,""viewing_time"":2342.099999964237}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","55516","0.0-4.0","","","","","","","","",""
"368.5","arrows.png","38","image-keyboard-response","5","56187","0.0-5.0","","","","","","","","",""
"11749","","","instructions","6","67937","0.0-6.0","","[{""page_index"":0,""viewing_time"":1087.0999999642372},{""page_index"":1,""viewing_time"":7408},{""page_index"":2,""viewing_time"":3253.600000023842}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","68938","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","70241","0.0-8.0","","","","","","","","",""
"595.8999999761581","arrows.png","38","image-keyboard-response","9","71139","0.0-9.0","","","","","","","","",""
"3971.199999988079","","","instructions","10","75111","0.0-10.0","","[{""page_index"":0,""viewing_time"":1276.8999999761581},{""page_index"":1,""viewing_time"":2694}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","76113","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","77416","0.0-12.0","","","","","","","","",""
"572.8000000119209","arrows.png","39","image-keyboard-response","13","78291","0.0-13.0","","","","","","","","",""
"23709.399999976158","","","instructions","14","102001","0.0-14.0","","[{""page_index"":0,""viewing_time"":1587.1000000238419},{""page_index"":1,""viewing_time"":5698},{""page_index"":2,""viewing_time"":4996.299999952316},{""page_index"":3,""viewing_time"":7125.800000011921},{""page_index"":4,""viewing_time"":4301.800000011921}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","103003","0.0-15.0","","","","","","","","",""
"560.6000000238419","arrows.png","39","image-keyboard-response","16","103866","0.0-16.0","","","","","","","","",""
"13222.300000011921","","","instructions","17","117088","0.0-17.0","","[{""page_index"":0,""viewing_time"":2802},{""page_index"":1,""viewing_time"":7023.899999976158},{""page_index"":2,""viewing_time"":3396.100000023842}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","118090","0.0-18.0","","","","","","","","",""
"930.3000000119209","arrows.png","39","image-keyboard-response","19","119322","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","120323","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","121625","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","122928","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","124231","0.0-23.0","","","","","","","","",""
"301.10000002384186","arrows.png","39","image-keyboard-response","24","124834","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","125835","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","127138","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","128441","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","129744","0.0-28.0","","","","","","","","",""
"323.69999998807907","arrows.png","38","image-keyboard-response","29","130370","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","131372","0.0-30.0","","","","","","","","",""
