"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"5850.100000023842","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","5874","0.0-0.0","","","","","","","","",""
"7071.299999982119","","","survey-text","1","12953","0.0-1.0","{""aws"":""A3ITZNJQUTIZ4C""}","","","","","","","",""
"20055.29999998212","","","survey-text","2","33013","0.0-2.0","{""age"":""44"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"46734.69999998808","","","instructions","3","79752","0.0-3.0","","[{""page_index"":0,""viewing_time"":1478.5999999940395},{""page_index"":1,""viewing_time"":13389.90000000596},{""page_index"":2,""viewing_time"":7228.800000011921},{""page_index"":3,""viewing_time"":20404.19999998808},{""page_index"":4,""viewing_time"":4232.699999988079}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","80755","0.0-4.0","","","","","","","","",""
"1546.5","arrows.png","38","image-keyboard-response","5","82604","0.0-5.0","","","","","","","","",""
"30412.80000001192","","","instructions","6","113020","0.0-6.0","","[{""page_index"":0,""viewing_time"":2668.800000011921},{""page_index"":1,""viewing_time"":22803.80000001192},{""page_index"":2,""viewing_time"":4940}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","114021","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","115323","0.0-8.0","","","","","","","","",""
"509.90000000596046","arrows.png","38","image-keyboard-response","9","116134","0.0-9.0","","","","","","","","",""
"9252.699999988079","","","instructions","10","125387","0.0-10.0","","[{""page_index"":0,""viewing_time"":3275.199999988079},{""page_index"":1,""viewing_time"":5977.4000000059605}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","126388","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","127689","0.0-12.0","","","","","","","","",""
"1540.199999988079","arrows.png","39","image-keyboard-response","13","129531","0.0-13.0","","","","","","","","",""
"44699","","","instructions","14","174232","0.0-14.0","","[{""page_index"":0,""viewing_time"":3188.9000000059605},{""page_index"":1,""viewing_time"":7218.699999988079},{""page_index"":2,""viewing_time"":16370.199999988079},{""page_index"":3,""viewing_time"":8221.40000000596},{""page_index"":4,""viewing_time"":9699.700000017881}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","175233","0.0-15.0","","","","","","","","",""
"472.30000001192093","arrows.png","39","image-keyboard-response","16","176007","0.0-16.0","","","","","","","","",""
"24849.30000001192","","","instructions","17","200856","0.0-17.0","","[{""page_index"":0,""viewing_time"":4050.7000000178814},{""page_index"":1,""viewing_time"":10648},{""page_index"":2,""viewing_time"":10150.40000000596}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","201858","0.0-18.0","","","","","","","","",""
"1560.800000011921","arrows.png","39","image-keyboard-response","19","203720","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","204721","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","206024","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","207326","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","208628","0.0-23.0","","","","","","","","",""
"660.8000000119209","arrows.png","39","image-keyboard-response","24","209591","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","210593","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","211895","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","213197","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","214500","0.0-28.0","","","","","","","","",""
"502.5","arrows.png","38","image-keyboard-response","29","215304","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","216305","0.0-30.0","","","","","","","","",""
"58552.5","","","instructions","31","275163","0.0-31.0","","[{""page_index"":0,""viewing_time"":7899.700000017881},{""page_index"":1,""viewing_time"":1733.9000000059605},{""page_index"":2,""viewing_time"":12361.5},{""page_index"":3,""viewing_time"":11790.199999988079},{""page_index"":4,""viewing_time"":7913.9000000059605},{""page_index"":5,""viewing_time"":5426.299999982119},{""page_index"":6,""viewing_time"":9954.40000000596},{""page_index"":7,""viewing_time"":1472.2000000178814}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","275465","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","275468","0.0-32.0-1.0","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","275768","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","35","276770","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","277071","0.0-32.0-4.0","","","fixation_3","","","","","",""
