"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"3723.2999999523163","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","3737","0.0-0.0","","","","","","","","",""
"2400","","","survey-text","1","6141","0.0-1.0","{""aws"":""A3RU7ANMLXJQF6""}","","","","","","","",""
"6248.199999988079","","","survey-text","2","12395","0.0-2.0","{""age"":""30"",""english"":""Y"",""handedness"":""L"",""desktop"":""Y""}","","","","","","","",""
"13904.799999952316","","","instructions","3","26301","0.0-3.0","","[{""page_index"":0,""viewing_time"":1020.6999999880791},{""page_index"":1,""viewing_time"":4353.800000011921},{""page_index"":2,""viewing_time"":2161.2999999523163},{""page_index"":3,""viewing_time"":3998.600000023842},{""page_index"":4,""viewing_time"":2369.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","27322","0.0-4.0","","","","","","","","",""
"514.6000000238419","arrows.png","38","image-keyboard-response","5","28157","0.0-5.0","","","","","","","","",""
"7525.600000023842","","","instructions","6","35682","0.0-6.0","","[{""page_index"":0,""viewing_time"":1745.199999988079},{""page_index"":1,""viewing_time"":4006.100000023842},{""page_index"":2,""viewing_time"":1773.8999999761581}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","36684","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","37987","0.0-8.0","","","","","","","","",""
"267.19999998807907","arrows.png","38","image-keyboard-response","9","38557","0.0-9.0","","","","","","","","",""
"3819.600000023842","","","instructions","10","42377","0.0-10.0","","[{""page_index"":0,""viewing_time"":1835},{""page_index"":1,""viewing_time"":1984.3999999761581}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","43378","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","44680","0.0-12.0","","","","","","","","",""
"365.39999997615814","arrows.png","39","image-keyboard-response","13","45347","0.0-13.0","","","","","","","","",""
"14073.5","","","instructions","14","59421","0.0-14.0","","[{""page_index"":0,""viewing_time"":1655.199999988079},{""page_index"":1,""viewing_time"":3237.800000011921},{""page_index"":2,""viewing_time"":4601.899999976158},{""page_index"":3,""viewing_time"":1806.300000011921},{""page_index"":4,""viewing_time"":2771.899999976158}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","60424","0.0-15.0","","","","","","","","",""
"1298.3999999761581","arrows.png","39","image-keyboard-response","16","62024","0.0-16.0","","","","","","","","",""
"11280.899999976158","","","instructions","17","73305","0.0-17.0","","[{""page_index"":0,""viewing_time"":2308.199999988079},{""page_index"":1,""viewing_time"":3951.800000011921},{""page_index"":2,""viewing_time"":5020.399999976158}]","","","","","","",""
