"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","view_history","test_part","correct_response","outcome","context","cc","sc","correct"
"6122.900000095367","<p><b>Welcome to the Picture Learning Game!</b></p>
      <p>The game will take ~35 minutes to complete, and you can make up to $17.50.</p>
      <p>You must use a desktop or laptop computer computer (no mobile devices).</p>
      <p><em>Press any key to continue.</em></p>","32","html-keyboard-response","0","6146","0.0-0.0","","","","","","","","",""
"3423.800000190735","","","survey-text","1","9573","0.0-1.0","{""aws"":""A2KLJKDG90K1PP""}","","","","","","","",""
"14584.799999713898","","","survey-text","2","24163","0.0-2.0","{""age"":""55"",""english"":""Y"",""handedness"":""R"",""desktop"":""Y""}","","","","","","","",""
"37481.5","","","instructions","3","61645","0.0-3.0","","[{""page_index"":0,""viewing_time"":1133.1999998092651},{""page_index"":1,""viewing_time"":14688.700000286102},{""page_index"":2,""viewing_time"":4912},{""page_index"":3,""viewing_time"":11781},{""page_index"":4,""viewing_time"":4966.099999904633}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","4","62647","0.0-4.0","","","","","","","","",""
"137.2999997138977","arrows.png","38","image-keyboard-response","5","63086","0.0-5.0","","","","","","","","",""
"29984.300000190735","","","instructions","6","93071","0.0-6.0","","[{""page_index"":0,""viewing_time"":3199.199999809265},{""page_index"":1,""viewing_time"":18675.900000095367},{""page_index"":2,""viewing_time"":8108.800000190735}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","7","94073","0.0-7.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","8","95375","0.0-8.0","","","","","","","","",""
"428.80000019073486","arrows.png","38","image-keyboard-response","9","96105","0.0-9.0","","","","","","","","",""
"8943.39999961853","","","instructions","10","105049","0.0-10.0","","[{""page_index"":0,""viewing_time"":1764.5},{""page_index"":1,""viewing_time"":7178.599999904633}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","11","106051","0.0-11.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","12","107353","0.0-12.0","","","","","","","","",""
"488.40000009536743","arrows.png","39","image-keyboard-response","13","108143","0.0-13.0","","","","","","","","",""
"33453.60000038147","","","instructions","14","141596","0.0-14.0","","[{""page_index"":0,""viewing_time"":2343.300000190735},{""page_index"":1,""viewing_time"":6575.900000095367},{""page_index"":2,""viewing_time"":7330.900000095367},{""page_index"":3,""viewing_time"":7601.199999809265},{""page_index"":4,""viewing_time"":9602}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","15","142598","0.0-15.0","","","","","","","","",""
"454.2000002861023","arrows.png","39","image-keyboard-response","16","143353","0.0-16.0","","","","","","","","",""
"555266","","","instructions","17","698620","0.0-17.0","","[{""page_index"":0,""viewing_time"":2839.699999809265},{""page_index"":1,""viewing_time"":45536.800000190735},{""page_index"":2,""viewing_time"":506889.2999997139}]","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","18","699621","0.0-18.0","","","","","","","","",""
"1005","arrows.png","39","image-keyboard-response","19","700927","0.0-19.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","20","701929","0.0-20.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","21","703231","0.0-21.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","22","704533","0.0-22.0","","","","","","","","",""
"null","<img src=""CC2.png"" width=200 height=200/>","null","html-keyboard-response","23","705836","0.0-23.0","","","","","","","","",""
"7876","arrows.png","39","image-keyboard-response","24","714014","0.0-24.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","25","715016","0.0-25.0","","","","","","","","",""
"null","switch_cue.png","null","image-keyboard-response","26","716318","0.0-26.0","","","","","","","","",""
"null","sample1.bmp","null","image-keyboard-response","27","717621","0.0-27.0","","","","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","28","718922","0.0-28.0","","","","","","","","",""
"1844.9000000953674","arrows.png","38","image-keyboard-response","29","721068","0.0-29.0","","","","","","","","",""
"null","<p style=""color: green; font-size:300%;"">correct</p>","null","html-keyboard-response","30","722070","0.0-30.0","","","","","","","","",""
"100731.90000009537","","","instructions","31","823104","0.0-31.0","","[{""page_index"":0,""viewing_time"":13548.300000190735},{""page_index"":1,""viewing_time"":1567.9000000953674},{""page_index"":2,""viewing_time"":27872.199999809265},{""page_index"":3,""viewing_time"":14655.199999809265},{""page_index"":4,""viewing_time"":4978.800000190735},{""page_index"":5,""viewing_time"":4496.199999809265},{""page_index"":6,""viewing_time"":32368},{""page_index"":7,""viewing_time"":1244.8000001907349}]","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","32","823405","0.0-32.0-0.0","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","33","823408","0.0-32.0-1.0","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","34","823710","0.0-32.0-2.0","","","fixation_2","","","","","",""
"null","img_2.bmp","null","image-keyboard-response","35","824711","0.0-32.0-3.0","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","36","825012","0.0-32.0-4.0","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","37","826014","0.0-32.0-5.0","","","test","downarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","38","826315","0.0-32.0-6.0","","","fixation_4","","","","","",""
"2124.9000000953674","arrows.png","39","image-keyboard-response","39","828441","0.0-32.0-7.0","","","test","downarrow","1","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","40","829693","0.0-32.0-8.0","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","41","830995","0.0-32.0-0.1","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","42","831000","0.0-32.0-1.1","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","43","831300","0.0-32.0-2.1","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","44","832301","0.0-32.0-3.1","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","45","832602","0.0-32.0-4.1","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","46","833604","0.0-32.0-5.1","","","test","rightarrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","47","833906","0.0-32.0-6.1","","","fixation_4","","","","","",""
"478.80000019073486","arrows.png","38","image-keyboard-response","48","834385","0.0-32.0-7.1","","","test","rightarrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","49","835644","0.0-32.0-8.1","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","50","836204","0.0-32.0-0.2","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","51","836209","0.0-32.0-1.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","52","836510","0.0-32.0-2.2","","","fixation_2","","","","","",""
"null","img_4.bmp","null","image-keyboard-response","53","837512","0.0-32.0-3.2","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","54","837813","0.0-32.0-4.2","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","55","838815","0.0-32.0-5.2","","","test","uparrow","0","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","56","839116","0.0-32.0-6.2","","","fixation_4","","","","","",""
"460.7000002861023","arrows.png","40","image-keyboard-response","57","839578","0.0-32.0-7.2","","","test","uparrow","0","1","TRUE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","58","840831","0.0-32.0-8.2","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","59","841633","0.0-32.0-0.3","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","60","841638","0.0-32.0-1.3","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","61","841941","0.0-32.0-2.3","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","62","842944","0.0-32.0-3.3","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","63","843245","0.0-32.0-4.3","","","fixation_3","","","","","",""
"null","<img src=""CC1.png"" width=200 height=200/>","null","html-keyboard-response","64","844247","0.0-32.0-5.3","","","test","leftarrow","1","1","TRUE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","65","844549","0.0-32.0-6.3","","","fixation_4","","","","","",""
"1473.0999999046326","arrows.png","37","image-keyboard-response","66","846023","0.0-32.0-7.3","","","test","leftarrow","1","1","TRUE","FALSE","true"
"null","<p style=""color: green; font-size:300%;"">correct: $7.50</p>","null","html-keyboard-response","67","847275","0.0-32.0-8.3","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","68","848826","0.0-32.0-0.4","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","69","848833","0.0-32.0-1.4","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","70","849136","0.0-32.0-2.4","","","fixation_2","","","","","",""
"null","img_1.bmp","null","image-keyboard-response","71","850137","0.0-32.0-3.4","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","72","850438","0.0-32.0-4.4","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","73","850443","0.0-32.0-5.4","","","test","rightarrow","0","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","74","850745","0.0-32.0-6.4","","","fixation_4","","","","","",""
"2226","arrows.png","37","image-keyboard-response","75","852971","0.0-32.0-7.4","","","test","rightarrow","0","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","76","854224","0.0-32.0-8.4","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","77","854777","0.0-32.0-0.5","","","fixation_1","","","","","",""
"null","","null","image-keyboard-response","78","854783","0.0-32.0-1.5","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","79","855084","0.0-32.0-2.5","","","fixation_2","","","","","",""
"null","img_3.bmp","null","image-keyboard-response","80","856085","0.0-32.0-3.5","","","img_on","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","81","856387","0.0-32.0-4.5","","","fixation_3","","","","","",""
"null","","null","html-keyboard-response","82","856391","0.0-32.0-5.5","","","test","leftarrow","1","1","FALSE","FALSE",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","83","856693","0.0-32.0-6.5","","","fixation_4","","","","","",""
"702.4000000953674","arrows.png","38","image-keyboard-response","84","857396","0.0-32.0-7.5","","","test","leftarrow","1","1","FALSE","FALSE","false"
"null","<p style=""color: red; font-size:300%;"">incorrect: $0</p>","null","html-keyboard-response","85","858663","0.0-32.0-8.5","","","","","","","","",""
"null","<div style=""font-size:60px;""> </div>","null","html-keyboard-response","86","859716","0.0-32.0-0.6","","","fixation_1","","","","","",""
